dataset;session;speaker;utterance
dtrs-11;03-iterations-on-workshop-design;Ewan;Alright, should we do five minutes? On this one? And it is basically input to screener, which is also, what people do we want. And I'll s'- yeah. Quantity over quality. And, yep, make it happen. (..) And if- if- you know something we have said before, still write it down, just you know duplicate it, it's fine.  (..) (the design team brainstorms on post-its. Notice time stamp) (..)
dtrs-11;03-iterations-on-workshop-design;Ewan;(Alarm on cell phone rings) That was five minutes, do you need some more time? One more minute?
dtrs-11;03-iterations-on-workshop-design;Kenny;Ah I don't need more.
dtrs-11;03-iterations-on-workshop-design;Ewan;David?
dtrs-11;03-iterations-on-workshop-design;David;Eh, I think I will do some spin-off when it comes, so I don't need more.
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah?
dtrs-11;03-iterations-on-workshop-design;Nina;It's okay.
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah? Alright. (..) Then, alright. Let's start with you.
dtrs-11;03-iterations-on-workshop-design;David;Cool. Sorry for my handwriting first of all (laughter)
dtrs-11;03-iterations-on-workshop-design;Ewan;Ah, that's eh, let's have a look at it. It's ten times better than mine.
dtrs-11;03-iterations-on-workshop-design;Kenny;Should we hang it here? (points to wall)
dtrs-11;03-iterations-on-workshop-design;David;Yeah.
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah, we can do that.
dtrs-11;03-iterations-on-workshop-design;Abby;If it sticks.
dtrs-11;03-iterations-on-workshop-design;Ewan;Well that's the problem.
dtrs-11;03-iterations-on-workshop-design;Kenny;Oh yeah, that wall might be- should- we can stick it to the whiteboard?
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah let's- let's try that.
dtrs-11;03-iterations-on-workshop-design;David;Yeah.
dtrs-11;03-iterations-on-workshop-design;Ewan;You can move that big post-it, that's no problem. Okay, and we do the classic eh rule of if we have something that is kind of similar, than just like add it on eh on top of that, so we- yeah.
dtrs-11;03-iterations-on-workshop-design;Nina;If we get new ideas.
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah.
dtrs-11;03-iterations-on-workshop-design;David;We talked about it, but I think it's- if possible (..) try and screen for multi-disciplinarity,
dtrs-11;03-iterations-on-workshop-design;Ewan;Mhm?
dtrs-11;03-iterations-on-workshop-design;David;In terms of eh profession. Ehm. I noted eh, not too high up the societal ranks in terms of hierarchy,
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah I just wanted to add something.
dtrs-11;03-iterations-on-workshop-design;Abby;Yeah I'm also thinking we should just finish that one.
dtrs-11;03-iterations-on-workshop-design;David;Okay, yeah.
dtrs-11;03-iterations-on-workshop-design;Ewan;So I also had- so you had- yeah, screen for different expertise and multi-disciplinarity, and I also had the same thing, which is eh get maybe some people with special areas of expertise. Maybe not everyone needs to have it, but some.
dtrs-11;03-iterations-on-workshop-design;Kenny;Mhm.
dtrs-11;03-iterations-on-workshop-design;Abby;Yeah.
dtrs-11;03-iterations-on-workshop-design;Ewan;And I think we need to just be- we can- afterwards we can talk about what those areas should be.
dtrs-11;03-iterations-on-workshop-design;Kenny;Yeah I think- I think we should be specific on-
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah probably specific, yeah.
dtrs-11;03-iterations-on-workshop-design;David;Yeah.
dtrs-11;03-iterations-on-workshop-design;Kenny;Yeah so it doesn't become random different expertises.
dtrs-11;03-iterations-on-workshop-design;Ewan;Yeah.
dtrs-11;03-iterations-on-workshop-design;Abby;"And I have kind of the same, ""experts in something?"" So that's (most tied?), question mark. Certain professions, it's kind of eh-"
dtrs-11;03-iterations-on-workshop-design;Nina;Yeah.
dtrs-11;03-iterations-on-workshop-design;David;Mhm.
dtrs-11;03-iterations-on-workshop-design;Ewan;"It would really be cool to- to try to find it- of course it's gonna be difficult to find a lot of them, but finding one or two, eh I think that was actually a good eh, good- eh I think- something, I totally forgot about this, but that was actually one of the keys to why it was so interesting, was how they were actually able to come with some sort of crazy fact that like ""wow!"". Also- yeah."
