dataset;session;speaker;utterance
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;CC2.
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;CC2.
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;We have ehm
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;We could stand up.
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Yeah, and vi have some eh
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;We already have some?
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Yeah, we do actually already have some.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;Start things.
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Yes, then we can actually move this. Then we have some co-creation two post-its here.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;Oh yeah.
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;(..) Ehm.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;(..) From Amandas eh
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Yeah.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;"Input. What did you write? ""Each group is its own little company""."
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Yep, so-
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;"""Ideal idea of product, where to sell it, how to storytell it, how to price it"". ""Problem solving, create a problem within (.) the respondent-"""
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;"""Which the-"""
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;"""Which the respondents needs to solve"""
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;Mhm.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;"""Start with share back plus investment"""
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Okay, so now we switch to English.
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;Yeah.
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;So I guess this is the ehm. This little thing here I think was what we talked about, the problem solving. That-
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;That we give them a challenge, we give them a
dtrs-11;05-designing-cocreation-workshops-day-2;Abby;Yeah, exactly.
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;An issue that they need to solve.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;Yeah. So we need to create a problem around whatever we have, and then they need to solve the problem. And I think- I like this approach because of the way that the Chinese people think, and I think it's very easy for them to get into a task like that.
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;And I- and the whole idea of the- kind of the mini company, I think is a cool approach because-
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;Yeah it's a cool approach and they will like it.
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;Yeah because it makes it very easy for them to- it's very logical for them to think in story and sales and.
dtrs-11;05-designing-cocreation-workshops-day-2;Kenny;Yeah.
dtrs-11;05-designing-cocreation-workshops-day-2;Ewan;Cause basically they are- they're doing their- the job for us in a very natural way.
