dataset;session;speaker;utterance
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;So maybe for now, I'll just start with the first section, and they are focused on the ones that they considered the more important. The top three that they voted.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;But this is maybe a little more (INAUDIBLE), you know, and experienced as well. So I think probably the clusters that are the (.) for them, eh number one will be in terms of the body and the mind, eh health. Right? So, physical and mental health, alright? Eh which we- of course we took to the second- second activity and that connects to that as well. So-
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Amanda;Do you wanna (.) be here? (W and AM switch seats)
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;Okay, yeah. So, when they were talking about eh body and mind eh I mean several things of course some exercise, where to exercise, eh but they straight away started talking about things like relaxation.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Mhm.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;It should include- exercise is not just about ehm enjoying your body's (prep?) time or preventing eh poor health and so on, but it's also about relaxation. And part of that is also together from that, that it's actually the more ehm massage kind of (.)
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;So that has a little bit of, you know, you gotta relax a little bit, when you get away from your daily grind and your stresses, and (.) (..) (Off task) (..)
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;So, eh, I think there was one guy who, the younger guy, who I think leads a slightly more disciplined life, I mean like, he's not married, he's not, you know, has his own family and whatever. He talks about things like sleeping early, going to bed by ten, waking up really early by six, you know, because your body starts to detox at eleven a clock.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;That's actually a little bit of eh (.) traditional Chinese medicine, that's part of the concept. Your body starts to work itself eh actually from that time which is eleven at night, your body should start resting before that, so you need to go to bed before that, so that, you know, it can work its magic.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Mhm.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;So people like us who sleep at twelve, sleep at one, you have really bypassed that magic hour of where we can actually get that. So-
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Amanda;But that's interesting here, since how about partying? But I think it kind of (INAUDIBLE), because the other people couldn't relate it with, and they felt that (INAUDIBLE) (.)
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;Yeah. But I also suspect given my- my reading of him, I don't think he's very hard core in partying. Probably it's only because he's (certainly?) younger, he's single, so he's got more time for that kind of thing, but I think being a guy, he probably wants more of a party here (INAUDIBLE)
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah, I think that as well.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;Yeah, there's a sense of-
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;He's kind of also talking about only-
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;I think he's- he's only holding him back because he's got a kid, and he can't do it anymore.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;It's a little bit annoying, but- (laughter)
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Amanda;So he wants freedom.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;Yeah yeah, then which is why he talked a lot about time. And freedom. You know? Eh so, when- in the first session he mentioned, you know, driving, going out (straight with this?). We talked about the- the moments of day positives. Eh, okay primarily- actually he's got plenty of time. He's actually- I think he's just self-employed or probably second generation in the company, so, you think actually (.) time is not the problem.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;It's just that whatever time I have, I've got to make sure that I'm around for my wife and my child.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;"So it's not the time, but it's just that (.) they will take all the time (laughs), and so ""how do I still break out there and, you know, allow time to travel, hang out with my friends"", and the main, eh, the main way that he can break out with, regularly, and to him it's a form of relaxation, it's also travelling."
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;"Taking a long drive at night, on the express way for an hour, and stuff like that. So, this way, he's had a lot to do in the time, like him and the lady who's got a kid, I think they're very concerned about, you know ""where's my freedom? I do not know- I do not have autonomy anymore. So that all the things are- you know, what will be my control?"""
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;"You know. Whether it's things to do in relaxation, things to take the stresses away and all that. Eh ""I don't have as much opportunity to do something about-"""
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah, because of all the domestic chores.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;"Yeah. It's like regular exercise, regular massage, not anymore. ""I can be- do them, when I can find the time for it"". So it's really the way, body and mind, and the whole thing like time, is actually quite relevant eh in terms of (.) whether it's a constrain number one,"
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Will;Number two if you can improve your well being generally, if it's coming in to the- actually allows you to also be more free (.) to pursue whatever you want.
dtrs-11;07-designing-cocreation-workshops-debrief-day-1;Abby;Yeah.
