dataset;session;speaker;utterance
dtrs-11;14-debriefing-after-cc2;Ewan;Ehm also depends on how blasted they are, but ehm thank you so much Will and Rose (everybody's applauding)
dtrs-11;14-debriefing-after-cc2;Ewan;Thank you so much Amanda (everybody's applauding)
dtrs-11;14-debriefing-after-cc2;Ewan;And of course (..) to us (pointing at himself and Kenny) (everybody's applauding)
dtrs-11;14-debriefing-after-cc2;Ewan;And also you guys (referring to the rest sitting at the table) (everybody's applauding)
dtrs-11;14-debriefing-after-cc2;Ewan;Okay, so we can use a template, or we can loosely talk about it, or we writing it down. We have the next three days to understand this and package it, and cluster it, eh and should we kind of open up with some general thoughts? Of course we don't wanna deflate it, we wanna keep (..) - if we open up for it, we might come (INAUDIBLE) out and what we do tomorrow. We should decide if we do this for real, or we do it kind of light-weight. Or does people (INAUDIBLE)- it's fresh now of course.
dtrs-11;14-debriefing-after-cc2;Kenny;I want it a little bit light-weight
dtrs-11;14-debriefing-after-cc2;Ewan;Maybe a little light-weight? Eh light-weight, but captures, capturing.
dtrs-11;14-debriefing-after-cc2;Kenny;Yeah I think we should capture it
dtrs-11;14-debriefing-after-cc2;Ewan;Ehh
dtrs-11;14-debriefing-after-cc2;Abby;We should definitely (INAUDIBLE) or else it doesn't make sense
dtrs-11;14-debriefing-after-cc2;Kenny;No
dtrs-11;14-debriefing-after-cc2;Ewan;Eh who wanna be on capture duty
dtrs-11;14-debriefing-after-cc2;Nina;I take the notes
dtrs-11;14-debriefing-after-cc2;Ewan;You wanna take the notes?
dtrs-11;14-debriefing-after-cc2;Nina;I'll do it
dtrs-11;14-debriefing-after-cc2;Ewan;Okay, very good (..) So maybe should we start out with you guys first, and we do that standard. If you think back on that day, what stood out the most? What is the thing you think about first, when you think about this day?
dtrs-11;14-debriefing-after-cc2;Tiffany;They really contributed all, and they were so (unclear speeck) that we were listening to
dtrs-11;14-debriefing-after-cc2;Ewan;Which one was that? Was that- oh it was that group, yeah
dtrs-11;14-debriefing-after-cc2;Tiffany;Yeah (..) they were so engaged
dtrs-11;14-debriefing-after-cc2;Ewan;Engaged
dtrs-11;14-debriefing-after-cc2;Tiffany;Oh they were engaged
dtrs-11;14-debriefing-after-cc2;Nina;and he ran to the bathroom
dtrs-11;14-debriefing-after-cc2;Ewan;Who? Who ran to the bathroom?
dtrs-11;14-debriefing-after-cc2;Nina;Yen?
dtrs-11;14-debriefing-after-cc2;Ewan;Yeah Yenn
dtrs-11;14-debriefing-after-cc2;Nina;Yeah he ran (everybody's laughing)
dtrs-11;14-debriefing-after-cc2;Ewan;So he could come back?
dtrs-11;14-debriefing-after-cc2;Nina;Yeah
dtrs-11;14-debriefing-after-cc2;Kenny;Yen, like the least runnable guys
dtrs-11;14-debriefing-after-cc2;Ewan;Yeah
dtrs-11;14-debriefing-after-cc2;Ewan;"I think, not to over-analyze it, but I think it says something about the demographic as well. Like, really. This is the type of demographic that we wanted. They are engaged, the are (.) active, they wanna be there, they are (..) much more individualistic than like, i don't know, maybe ""our"" view of who the Chinese person are. At least they have a voice, they wanna say something. And I think that's great."
dtrs-11;14-debriefing-after-cc2;Abby;Mmm
dtrs-11;14-debriefing-after-cc2;Hans;(INAUDIBLE) and also what they're expressing, about the values. It's very much about the match with this environmental kind of thing. It's obvious for them, and it seems important as well.
dtrs-11;14-debriefing-after-cc2;Ewan;Any particular values you- you kind of caught- that kind of caught your attention
dtrs-11;14-debriefing-after-cc2;Hans;What was the- yeah- thinking about the environmental things and (INAUDIBLE), that for marketing, for the customers as well.
dtrs-11;14-debriefing-after-cc2;Ewan;So the environmental things? They mentioned several things in regards to the environment.
dtrs-11;14-debriefing-after-cc2;Hans;Yeah
dtrs-11;14-debriefing-after-cc2;Ewan;Anything in particular
dtrs-11;14-debriefing-after-cc2;Hans;But those (..) yeah (..) quite a lot of examples on the health topic
dtrs-11;14-debriefing-after-cc2;Ewan;Yeah
dtrs-11;14-debriefing-after-cc2;Hans;(INAUDIBLE) as such
dtrs-11;14-debriefing-after-cc2;Ewan;Any eh- any- cause you know, they- I think what I thought was really interesting, in my group, was that-
dtrs-11;14-debriefing-after-cc2;Abby;It was the same, right?
dtrs-11;14-debriefing-after-cc2;Ewan;Ye- ye- ye- ye- yeah it was the same group. It was that, it was almost they got there straight away, especially, and I especially felt it when they talked about (..) eh the location of head quarter. How impor- not only the location but also the building. How the head quarter was build. As far as I understood. And I think that is the type of thinking that really excites me. The- they think several layers outside of the product itself. But it's not only like, the thing i own or I get, but it like, how is even a head quarter built. What kind f window material do they use. I mean, cause that is- they want to reflect this message, and they want it to be water tight, they want to have a complete story.
dtrs-11;14-debriefing-after-cc2;Tiffany;And also the employees. In our group- in our group they talked a lot about the employees, they had to take care of their employees. And eh yeah giving them incentives and take care of their health, so they could get like health tickets, and go train.
dtrs-11;14-debriefing-after-cc2;Nina;Also really like motivate them, like for people is to want to work for the company, to be very (assertive?) with the values and the vision of the company. Because that makes better performance, and then the customer is happy, because they (INAUDIBLE).
dtrs-11;14-debriefing-after-cc2;Ewan;Mmm
dtrs-11;14-debriefing-after-cc2;Tiffany;They should have a path, and the manager should see you
dtrs-11;14-debriefing-after-cc2;Nina;Yeah
dtrs-11;14-debriefing-after-cc2;Tiffany;and give you credit for it
dtrs-11;14-debriefing-after-cc2;Ewan;And now for the million dollar question (..) Why was this important for them?
dtrs-11;14-debriefing-after-cc2;Will;Why was this important?
dtrs-11;14-debriefing-after-cc2;Ewan;Why do they mention this, why is this important to them?
dtrs-11;14-debriefing-after-cc2;Ewan;Are they just- is this just random
