dataset;session;speaker;utterance
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Abby;What was that?
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;Eh that was that in China, you can never separate that like you as an individual
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Abby;Mhm.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;Eh it is you, and it is the ten thousand.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Amanda;(Wipes out parts of center magic chart and starts writing on it)
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;I think the nice thing about that is it somehow reflects the way the Chinese- or Asian people in general are thinking that they're not just that person. Everything that you do is always based on all of the people around you. And I think these videos that always refer to the documentary about East and West, they're trying to explain that thing about how they think of themselves in relation to other people, which is just fundamentally different from Western people.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;Mhm.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;And I think these one plus ten thousand is actually, some way (.) reflecting that.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;I agree, and I think we can really be inspired by the Adidas eh approach.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;It was super, super good.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;Yeah.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;I really thought that- they really caught (.) some of the ways that- that- that Asian people are thinking. [Genious].
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;[And again] very close to THE COMPANY values in many ways.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;Mhm. Yeah.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;Even though that we have seen a push towards the more kind of Nike, like you overwinning nature with your THE COMPANY BRAND, alone.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;And plus, I think they caught some of the things that are generic across China and across Asia so they were not just (.) pointing or addressing the people of CHINESE CITY or CHINESE CITY or CHINESE CITY but actually ca- catching some of the things that are generic, in the entire China- which I think is quite hard. Because it is like basically ten different countries.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;Yeah, yeah. (.) Wh- what are you referring to now? The
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Abby;[Nike].
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;[The mindset] of how they relate themself in- in the or, to other people, how they see themself in relation to other people around them, [society, and the-].
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;[And the one plus ten thousand. Did- you are referring] to Adidas?
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Kenny;Yes, Adidas and the one [plus ten thousand, I think it's the same kind of thing that they're] (.) that it's reflecting.
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Ewan;[Yeah, for sure, yeah yeah yeah].
dtrs-11;18-clustering-insights-from-cc1-and-cc2;Amanda;(..) (looking at a laptop) Maybe that should be an opening slide to show (.) the focus analogy.
