dataset;session;speaker;utterance
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;"So eh we have been to China in several incidents now eh to to- speed off the process (.) we are talking about dem- demographic is young, progressive, Chinese, Taiwan, city people, 20-30-35 years old, these are people who has kind of never experience China in a a demise, always in the- kinda the rising tiger China. They are rich people, they have eh tons of opportunities, good education, good international outlook, but definitely are eh Chinese, feel very much Chinese. Eh the project we do for Accessories are based on that we sell a lot of cars in China, but we have virtually zero take rates on anything else than the base product- why is that? So (.) our conclusion is that eh for the first time around is that in a product itself eh we cannot sell products just based on the product it self 'cause there a million billion other roof racks and and cup holders and stuff like that- it needs to be something else in it. One of the biggest areas that we have been focusing on due to THE COMPANY's core values and stuff like that eh is that we are focusing on what we call ""the good life"". And ""the good life"" is basically (.) everything you can do based- eh that is a above a certain level in the pyramid. Right, you don't have to find a house or find food, you can actually live a good life- enablers to a good life. So what we would like to talk to you guys now in the next 23 minutes (.) is any ideas, anything you can think of that could be a product or a service or a communication package or an event or anything that can be promoting kind of ""the good life"" (.) in a Chinese context. So for the next (.) 5 minutes we will try to just run through some of these (.) key areas that we've been focusing on. If you have some ideas eh during that time just write them down, and afterwards we will go through tem and probably build on then and so on. And quantity is totally fine, doesn't have to be quality, just start with the obvious."
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;"""good life"" yes it is about you know (.) really achieving your dreams and your aspirations and  so on. Eh one of the biggest things that we see in China is this kind of conflict, you can say many- many thing- in many ways. It's about collectivism, it's about you know being together as a society, very much Confusism and Communism mixed with the new individu- individualism. It's about me, it's about us, it's kind of very torn between that. And ""Progress  together"" is about that when you reach a certain status or money wise a certain point ,you are expected to give back to society, to at least support society in a way, it's not all about you an Rolex's and gold, and your doing stuff. You need to serve it back to society in some way or another. It's important. It is expected. And it's also a deeply a part of who Chinese people are. And the question is then ""how can we incorporate that in this stuff we do?"" we need to know this. In the west is all about being individual (.) you can see this through the Zlatan advertisement and all the other stuff that we do. In China this is seen very differently. Needs to be also beneficial for others. It's doesn't have to bee the whole country, but at least your local community needs to be a part of it. (..) another thing that we see is what we call ""conscious commitment"" which used to be called ""sexy commitment"", but as we now call it ""conscious commitment"" and it is about the duality of that you are now moving away from- you know you can buy gold, you can buy diamonds, you can buy Mercedes's and stuff like that, but everyone can start doing it now. How can they be special? (.) so they are now- many of the people we talked to, the active urbanite as we call them, they are now looking into other ways to differentiate them self and very often through a changed value set (.) so instead of actually, you know, buying up all the gold and diamonds and showcasing that, they are taking on eh values, like for example caring for the environment, eh investing in ecological food, eh supporting people far beyond their own reach, for example you know ""what about that farmer that feeds the pig that I eat? He also needs to have a good life, because I don't want him to suffer, so I can eat the pig"" it needs all the way through. ""And that (.) will then elevate me to another social state, because people recognize this"". And that's what we call ""conscious commitment"". So you take some actions in regards to your values and those actions will actually signal who you are as a person. We have the same thing with gold and Rolex, but it of course signals something else, but now - for these - that's kinda the gold and Rolex and Mercedes is kind of the parents generations way of promoting them self, the new way of doing it is doing it through (.) a more (.) sustainable value set (..) that's yeah ""conscious commitment"" so how can we create, I don't know, products or services or whatever  that can promote (.) this type of thinking."
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;"ehm this is also very much connected to what we call the ""evolving status symbols"" and it has to do with they need to be different. They want to be different. Eh and they need to find other ways of being different than their peers or their parents. Eh which one should we go- we can [maybe start this]"
dtrs-11;21-brainstorm-on-concepts-and-products-2;Kenny;[I think we can start with the] themes
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;yeah! Another area that we talked a lot about then is also very much connected to the good life or an enabler for the good life is health. And in China health is not like just one part of what of you. It is the fun- like fundamentally what you need to achieve anything, you can say everything balance on top of something and then- or something is health. And they do whatever they can to kind of to retrain  that and eh if you don't have it everything collapses. And of course in China it is a little weird how their approach to it, because it ve- it's spiritful in one sense and it's very practical in another sense and like superstition and everything is part of it. And health is something incorporates into every part of their life, so (.) you know (.) we are very much part of this thing in THE COMPANY and we have very little emissions from our materials and stuff like  that and it's really important for them and stuff- but how can we leverage  this even more? (..)
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;ehm yeah should we go through some of these other stuff as well?
dtrs-11;21-brainstorm-on-concepts-and-products-2;Kenny;very quickly (.) spend two minutes
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;"the last thing or maybe the two last things I wanna go through is something that we call ""In control and self-reliant"" and that has to do with that (.) the Chinese person of course don't have the same state support system as we have so what ever they do eventually it needs to be able to - they need to be self-reliant, they cannot rely on anything else, even (.) their own children, they can't rely on them (.) so that they try to invest what ever they can so that they, when they become old, can actually kind of live (.) a great life as well and putting their children to a good school is part of that so they can earn money, so that they can you know, live a good life. And ""in control"" has to do with, they only spend time on stuff that is controllable .  A traffic jam, they can't control it so they don't, they don't get upset by it, they weather or the pollution, they can't control it, they don't think about it, but stuff that they can control for example food safety and stuff like that, they really really invest in. Eh yeah."
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;"The last one is ""endure and enjoy"" and that a- has, is connected to the ehm the notion that of course ""I'm gonna work as hard as I can for the next then years and then I'm gonna retire (.) as fifty years old"" ""it's over for me, then I can reel in the benefits"". It used to be called ""endure now, benefit later"", because it was only about enduring now and later I will reel it in, however we have changed that a little bit, maybe a little closer to what we think about in the west; where they also want to enjoy now. But it's very much that in the West we love our work, our work is a part of who we are eh and we wanna work until we're eighty. Here it's like ""no I'm enduring, I'm taking this job, I don't love it, but I get the money I need, so I can benefit later"" and so that's kinda the mainer difference, but they do of course do want small pockets of enjoyment in their life never the less."
dtrs-11;21-brainstorm-on-concepts-and-products-2;Ewan;so based on that (.) in the next (.) 14 minutes, 15-16 minutes, would it be possible to then talk a little bit about or maybe you can write down (.) maybe you have something already in regards to how we can elevate some of this in the relations to product or services and of course accessories in one sense or another, but accessories could be anything.
