dataset;session;speaker;utterance
dtrs-11;01-background-interview;Interviewer;Let's look at the slides now and you can just take me through them. And tell me about them.
dtrs-11;01-background-interview;Ewan;Yeah. So maybe the question in advance would be to ask ehm (..) this project that we are doing, which is a collaboration us here in the Scandinavia User Involvement department and Accessories department, which is the accessory business unit, (..) ehm is based on a project we did earlier, so Phase I.
dtrs-11;01-background-interview;Interviewer;I will get back to Phase I, so just start with [the brief here]
dtrs-11;01-background-interview;Ewan;[Phase II]   yeah so (..)
dtrs-11;01-background-interview;Ewan;so this is a project that is call- named Phase II and it is a development project based on Phase I which I will get back to. This project will be running from October 2015 to March 2016 and it will be a (.) collaboration between two departments in Scandinavia  and China- our China office. (..) Our China office is in a Chinese city .
dtrs-11;01-background-interview;Ewan;So the project is- is basically aggregated from all the learnings we had from Phase I. From those learnings, which of course is a lot, we have made some opportunity areas. And from those oppoturnity aread and the other insights, we have as of right now a design challenge or a (home might?) sentence which is a tool that we use a lot to push stuff forward and currently that is (reads aloud from page 2 in the slides) “How might we evoke and capture the attention of the Active Urbanite so that we secure their emotional engagement and establish long-term THE COMPANY brandproductservice commitments?” and we can come into what is an Active Urbanite later, but that is basiccaly our demographic.
dtrs-11;01-background-interview;Interviewer;yes
dtrs-11;01-background-interview;Ewan;That is the postmodern young Chinese city dweller tier one person that has more or less never seen China in decline. They’re always seen China as the land of opportunities.
dtrs-11;01-background-interview;Interviewer;okay
dtrs-11;01-background-interview;Ewan;and ehm throughout 2015 and ehm 16 – the start of 16 we will explore and develop and co-create the concept package – is what we’re calling it (..) for the accessory business unit ehm for them to then ehm get and (.) try to puch this further into the system. And by a concept package we basically mean (..) ALL kind of what you need to (.) to make a a product or a service work. So that is the  product itself (.) ehm the communication needed and the business part. The business stream of it.
dtrs-11;01-background-interview;Interviewer;alright
dtrs-11;01-background-interview;Ewan;We would probably never go as far as to implementing this or self  if that happen that would be amazing but we will do all the research and all the ehm necessary kind of blueprinting steps (knock finger in table) to make it happen. And this mostly due to time and money we can’t do the hole thing. (..) and we down in Scandinavia are leading the project ehm and I’m the project lead for the project even though we run a very kind of flat hieraky. We have this Scandinavian team which is also in the kind of the inner group of p- of who’s running it and then we have several stakeholders across the board both in a city in Scandinavia and in China that will be informed and looped in as we go. (..) So the project has several stages and several streams. But to eh to highlight the most important milestones and the two most important streams ehm (.) we- we can have a look at it in this more graphical image (talk on the basis of page 3 in slides).
dtrs-11;01-background-interview;Ewan;So the two streams. You have the top stream. Which is the concept package stream that is driven by us and supported by the Accessories department unit. It has seven milestones. We also have a secondary stream, which is equally important ehm which is the innstyrings stream (Scandinavian word used on slide) which is the infusion stream. How do we get our concept package infused into the machinery. Which is the organization. And that is something that I really really important and typically forgotten! Because then you – you know you do your research, you do your development and then you have this packet and you give it to the you know the BLOB that is the machine that is s- suppose to make something out of it and you know no one is there, everyone is busy. (.) And eh the stakeholders are unaware and so on. So that’s why we’re starting the infusion stream “innstyringsstream” (.) as soon as possible even though is going to be a little bit difficult at the beginning because we don’t know WHAT we’re gonna make and how it’s gonna look, but that will continue on. That’s what you see in the bottom of the screen here (points at bottom of slide on page 4). (..)
dtrs-11;01-background-interview;Ewan;So! For us in the concept package stream we have now entered the scope and plan phase. We’re actually almost finished with that phase. Eh so that is one. That’s where we really handshake what we’re gonna do with our primary stakeholders and and you know where we’re gonna go! what method we’re gonna use and so on (..)
dtrs-11;01-background-interview;Ewan;Then you have Phase 2, which is the stakeholder involvement phase of the project and that’s where we reach out to several stakeholders both primary and secondary stakeholders. And (.) in project like this it is a little difficult again to reach out to the the the right ones, because we don’t know hundred percent where we’re gonna land, so we’re gonna do ‘em kinda broad short gun shot right now eh but we have some people that we know will support us and it’s also about (.) the personalities of different kinda key people in the organization which are mmm you know believers of what we do and what methods we use and so on. And of course this is a very POLITICAL thing as well, because most of the people in our organization in THE COMPANY are engineers and they don’t necessarily subscribe to the methods and the thinking that we do. However there are many that does! and we want them on board and then can you know maybe tell their friends again and their colleagues again about it. So it’s about also pushing the the message.
dtrs-11;01-background-interview;Ewan;We will in a concrete or in a more practical way we would definitely run several workshops in that phase, in Phase 2. Where we are including them and for them to get ownership and a possibility to to to somewhat shape (.) eh what we’re gonna do in the rest of the project. (..)
dtrs-11;01-background-interview;Ewan;Then we go in to Phase 3. Which is the concept and the field prep. This is where we start looking at okay what DO we want out of it? is it tangible? Is it eh is it a service? Is it eh more on the strategic side? Can we do much more- can we make- actual prototype and so on? And also the preparation for the field. So we of course are using a- most of the tools we are using are from the design eh methodology, design thinking field (.) and eh that’s why the eh the eh user centered approach is really important for us. Both in the research phase but also in this phase. Which is development!
dtrs-11;01-background-interview;Ewan;So we  can do that in different ways, so in ehm Phase 4 we’re gonna  go in to the field. Go to a Chinese city  in China, be there for about three weeks, and we’re gonna run this time around co-creation sessions. And the reasons why is shows some co-creations instead of just you know pure research or pure eh validation of concept, is that we basically do BOTH at the same time. We need to develop and validate in the same go, because of the time constraint we have on this project. (..)
dtrs-11;01-background-interview;Ewan;So we will then in Phase 2 prepare all the tools and MAYBE have an understanding of maybe something we want to do, but of course the reason with co-creat- we use co-creation is for the users also to be part of it. so we CAN’T be to galvanized into something. But it is mainly to prepare the tools. And prepare the days.
dtrs-11;01-background-interview;Ewan;Then we are coming to the in-field concept and co-creation, which is Phase 4 eh and we will go to a Chinese city , we will then NOT as we normally do- go- we- we would typically go and embed ourselves in a very ETNOgraphic way with  the users for (.) for e hours or days even! Now we will rent a venue and ehm and we will have a centralized point where we conduct co-creation workshops.
dtrs-11;01-background-interview;Interviewer;alright
dtrs-11;01-background-interview;Ewan;And eh when that is done (..) of course we have two co-creation workshops planned as of right now maybe (.) maybe four in total, but two DAYS and maybe we’ll run parallel workshops those days (.) eh we will then have days both before and after each workshop, where we can iterate and analyze and so on and it will- all the field phase will end with a three day long ehm analysis and refinement workshop with all the stakeholders there, so when we come back in to Phase 5, the concept refinement, we basically have something both in the realm of eh product ehm sales and communication (..)
dtrs-11;01-background-interview;Ewan;Then we’re gonna refine this also with our stakeholders to make sure it makes sense. We’re gonna go into Phase 6, which is concept package assembly. This is where it’s starting to get REALLY important that these eh the bottom stream here, the innstyrings stream, is really getting up to speed. ‘cause now is the end where we’re kind of (.) you know shaping it to be able to fit in to the organization (.) When the assembly is done when we’re gonna have the hand over, Phase 7 concept package handover and this is where we are making sure that everything is in place for the handover stream or the innstyrings stream, infusion stream ehm and that they are prepared to take the package and then we will be disconnected then (.) after stage number seven and then e another team will carry it in to industrialization and execution.
dtrs-11;01-background-interview;Interviewer;alright.
dtrs-11;01-background-interview;Ewan;And that is the general flow (.) on from a high level at least.
dtrs-11;01-background-interview;Interviewer;Yes.
dtrs-11;01-background-interview;Ewan;Yeah. (..)
dtrs-11;01-background-interview;Ewan;So if we look at the next slide (shifts to page 4 in the slides). That is more into who’s involved. And this is again early days when it comes to involvement, ‘cause we don’t necessarily know hundred percent (.) what we’re gonna make so if it’s something you know within services, it is a another part of the organization.
dtrs-11;01-background-interview;Interviewer;Oh yeah.
dtrs-11;01-background-interview;Ewan;If it is something we’re tangible interior wise it’s another part of the organization. (.) so this is very preliminary right now, but we have divided it into three bubbles or kinda squares where you have the center, which us at User Involvement department and Accessories department, we are the execution bubble, so the project leads (..) then you have bubble number two which is the participation bubble. That is the primary stakeholders, that is PD2 and PD2 is our eh production and development eh facility, or THE facility in China (..) and also we have M and S, which is the Sales and Marketing. We believe that those two FOR SURE has to be an important part. (.) then you have bubble number three, which is the information bubble, which is the secondary stakeholders (.) that is our own R&D, eh it’s ahm a department called Special Products (..) and there is also eh PS and VLM, which is the product planning departments. That’s the people that create products. But mostly mm based on cars and maybe I forgot to say that. But we’re doing this in the realm of the accessory unit.
dtrs-11;01-background-interview;Interviewer;Yes
dtrs-11;01-background-interview;Ewan;Which is not the base product, which is the cars. This is everything that comes outside of the car and it’s important to understand that the car projects are (.) very very HUGE and they are very very kinda of heavy to dance with. It is amazing to be a part of it, but they are not as agile as as the- you could be. That’s why the accessory unit makes sense to work with, because they are kinda little bit disconnected, but but we can pilot different things (..) eh much faster. (..)
dtrs-11;01-background-interview;Ewan;On the left side. Eh next to the bubbles, you will see a a stakeholder work intensity over time chart and then you can see where the different stakeholders are needed. And it is not like a continued need for them, they will come in spikes and of course we, which is the dark blue (refers to the figure in the left corner on page 5 in the slides) we will be engaged hundred percent of the time. We have Accessories department which will be about 20-30 percent of the time come in spikes in the field and in spikes when we have different workshops (.) and then you have the two stakeholder groups which also will be smaller spikes. (..)
dtrs-11;01-background-interview;Ewan;So when we come to the delivery (moves on to talk about the last slide on page 5). (.) ehm again this is a very eh extremely high level version of what we think we want to deliver, but at the core it- in the light blue background we would like to probably focus on two different things. So one being a region relevant reimagined product  prototype  and this is where we think let’s take something we have in our portfolio from before (.) reamb it (reassemble it) and make it in to a regional relevant thing. (.) and that could be something that is for example a- could be something very tangible like eh a roof box or mmm a cup holder or most likely we’ll do something with in health and something in within safety which is- that is the core of what THE COMPANY is.
dtrs-11;01-background-interview;Interviewer;Yes.
dtrs-11;01-background-interview;Ewan;And eh we also would like to make something we call a new connected offering Prototype and that should be something like a service or something that is intangible but connected to the physical product. (.) but with these two things we wAbbysafe it with one thing, so it isa tangible thing that we know we’re selling, but we’re gonna reamb it and then more go out in a limp with the service offering and it is more difficult and es-specially in China, they DON’T have the same you know understanding and need when it comes to access-ship versus ownership and so on.
dtrs-11;01-background-interview;Ewan;If we go- move into the ehm second box, which is the kind of engulfing the the first one you – we need to wrap this in to a region relevant story and we will also have a heavy heavy investment into how we can make that happen (.) and together with that of course we need to reamb the sales channels so now most of the stuff is sold to dealerships, but in a very bad way we- it doesn’t make sense and then of course eh telling the right story that will support on this. (..)
dtrs-11;01-background-interview;Ewan;In the third box (.) the the green box ehm wrapping around all of those two other things eh is the pilot strategy and the road map and the plan for how to execute this (..) and all of these things together would be then in our concept package (.) again we’re not gonna make it implementation ready, we’re not gonna ma- go to external suppliers and handshake the agreements with them, but we will make the plan as far as we can (.) eh for the the eh handover to happen in a good way (..)
dtrs-11;01-background-interview;Ewan;In the dotted line around the ehm the deliveries you will see we have something called a collaboration bridge and this is something that is extremely important. And by this we mean that out of this there will be a soft delivery around our ability to collaborate with different units within the organization and in an organization like THE COMPANY and, this is nothing special for THE COMPANY this goes for most big organizations even small ones, but we have challenges in eh in reaching out of our own little silo, our own little world into other departments and we would like to really make sure that we have a eh a way of doing it, a way of breaking down the silos and collaborating with the people we need to collaborate with, since as we are doing a project that reaches into both storytelling, so communication and sales and products, and not even in our own region of the world. So this is co- collaboration bridge between different part of the EU organization, but mostly fo- between EU and China.
dtrs-11;01-background-interview;Interviewer;alright.
dtrs-11;01-background-interview;Ewan;And that’s it.
dtrs-11;01-background-interview;Interviewer;Super. If we go back to the project definition, it was very specific. You told me a bit about it, you highlighted some worlds as well. Could you just go around it a bit more?
