dataset;session;speaker;utterance
dtrs-11;02-designing-cocreation-workshops;Ewan;We're gonna have a- as of right now we can hopefully start a more eh creative part of eh, of phase two, which of course will include lots of different things, but the first thing we can have a look at is the co-creation. And eh the video in the back of this is actually eh a video I made many years ago before a co-creation session, creating a co-creation tool, eh that we used in one of the sessions I was running, to have like you know, to kind of role play stuff using eh stuff like this. And this is kind of the playful approach I feel we should have, but then again that's up to us what- which direction we choose.
dtrs-11;02-designing-cocreation-workshops;Kenny;Is this on purpose? That you put [it like this?]
dtrs-11;02-designing-cocreation-workshops;Ewan;[That is a hundred percent] on purpose, and that old guy coming of the-
dtrs-11;02-designing-cocreation-workshops;Kenny;Yeah (laughs)
dtrs-11;02-designing-cocreation-workshops;Ewan;Eh but there is so many different approaches, and some are super effective one place, but not effective another place and so on, so. So the purpose of this meeting, which maybe will take an hour, two hours, let's see how long we have steam for, and it's basically to crack open the area, just co-creation in general and then maybe calibrate our expectations, and by that I mean maybe we can go one by one and just spend half a minute to talk about what we think it should be.
dtrs-11;02-designing-cocreation-workshops;Kenny;Mhm.
dtrs-11;02-designing-cocreation-workshops;Ewan;Then maybe get a little inspiration, so a share back session and I brought some of the stuff I had from before and maybe you have some experience from before that you wanna share, maybe you didn't prepare anything but maybe eh, no, but maybe you have something that you wanna speak about, in regards to it. And then, maybe start to shape our sessions a little bit. Write some post-its, you know, what's gonna happen and- and then, maybe we will get an initial understanding of what and how and when and stuff like that, so we can (.) plan for the next steps. So, the first thing I wanted to do (.) ah, that's the second I wanted to do, the first thing I wanted to do was to maybe, if we can do a round table, where we talk about our expectations for the co-creation session? We can start with you, Kenny?
dtrs-11;02-designing-cocreation-workshops;Kenny;Yeah. I expect that we are going to create something together. (laughs)
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, okay. That's great, yeah, that's very nice.
dtrs-11;02-designing-cocreation-workshops;Kenny;No, I- I think eh, of course my- I'm thi'- what I'm thinking is that I really want to have something physical, but I think I also realize that, in order to have it physical, then it becomes more complex and harder to work with, and if you want to be fast and do some iterations really quickly with the users, while you're in the same room, then it has to be as simple as possible, but still on of course on a material level or on a fidelity level, which is high enough for them to- to focus on what it actually is rather than what they see, like, piece of paper or something, but focus on the concept instead.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, yeah.
dtrs-11;02-designing-cocreation-workshops;Kenny;I think that balance might be quite hard to- to slide actually. Ehm of course really depending on the people that you work with. I guess that you need to somehow calibrate the users before you can calibrate the method.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, yeah.
dtrs-11;02-designing-cocreation-workshops;Kenny;And I guess that that's maybe gonna be the hardest part, because I think we're gonna do some really good eh preparations here, but in the end, when we're sitting there with the people, then we really need to calibrate it against them, and I feel that's where- where at least I really don't have any experience, what- what do you do in that situation. It's so easy for you to slip in the wrong direction or think that they think something or know something that they really doesn't or, maybe they can't abstract away from what they see in the paper or in the label or whatever. So how do you come over that bump, and make them see the content rather than the paper.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, very good. Okay yeah, cool. So, to sum that up, definitely going physical eh
dtrs-11;02-designing-cocreation-workshops;Kenny;Mhm, yeah.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, and definitely, you know, get a group of people that is ready to open up.
dtrs-11;02-designing-cocreation-workshops;Kenny;Mhm.
dtrs-11;02-designing-cocreation-workshops;Abby;Mhm.
dtrs-11;02-designing-cocreation-workshops;Ewan;And embrace it and I think it's- it's very correct what you said around this, you know we need to create these tools and this session to match with the people we get in, but it's really difficult to know what people we get in.
dtrs-11;02-designing-cocreation-workshops;Abby;Yeah.
dtrs-11;02-designing-cocreation-workshops;Kenny;Yeah.
dtrs-11;02-designing-cocreation-workshops;Ewan;So that is maybe putting more strain on us and the tools because they need to be super broad, and then we need to go super narrow, depending on the people kind of on the fly, for that.
dtrs-11;02-designing-cocreation-workshops;Abby;But also on the screener, beforehand.
dtrs-11;02-designing-cocreation-workshops;Ewan;On the screener, yeah.
dtrs-11;02-designing-cocreation-workshops;Abby;So we really need to work on that as well.
dtrs-11;02-designing-cocreation-workshops;Kenny;So maybe my other, not necessarily conclusion, but maybe at least one of- what I'm thinking is that we need to make it as flexible as possible.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, yeah, very good.
dtrs-11;02-designing-cocreation-workshops;Abby;Mhm.
dtrs-11;02-designing-cocreation-workshops;Kenny;Both the fidelity level, but also how we use the tool'- the methods, as flexible as possible.
dtrs-11;02-designing-cocreation-workshops;Ewan;Very good. Eh you Nina? Do you- what's your expectations around co-creation, the sessions, of course we- I know that you have [a different background, but then again, you s'- probably have some sort of expectation on some sort of level].
dtrs-11;02-designing-cocreation-workshops;Nina;[Yeah I've never done this, yeah. Yes], yes of course, so ah yeah, I expect it to be like physicals like something we are going to be using with the- with the people, so we can get the information we need, but not in the direct way, like we cannot be asking them, like what do you want and stuff like that, so, yeah we need to really make them to play the role, and understand, but as Kenny said like it cannot be- it's not gonna be in the exact situation like it's not gonna be in the car or like whatever we gonna have the setup, but it's gonna be on the like a higher mental level kind of thing, that they really need to feel the position so that's gonna be, as Kenny said, the hard part.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah?
dtrs-11;02-designing-cocreation-workshops;Nina;So that would- yeah, I think it's gonna be very interesting to see how that we can match that, together.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, mhm. Have you been close to this in any way in- before in your-
dtrs-11;02-designing-cocreation-workshops;Nina;Hm no, no. No.
dtrs-11;02-designing-cocreation-workshops;Ewan;Have you- but you have probably been sitting with friends, and talking about stuff. (laughter)
dtrs-11;02-designing-cocreation-workshops;Nina;But in- more in like- (laughter)
dtrs-11;02-designing-cocreation-workshops;Kenny;No, we never talk (laughter)
dtrs-11;02-designing-cocreation-workshops;Nina;No, yeah I mean, we talk about stuff, but not maybe in this ehm purpose, in this purpose way.
dtrs-11;02-designing-cocreation-workshops;Ewan;"It's interesting because it's- for me in many ways like, oh this is kind of like just hanging out with your friends and you decide on do stuff and you dream with your friends, ""ah let's go to London, let's go to-"" and then you ""ah, we're gonna do this and this"","
dtrs-11;02-designing-cocreation-workshops;Kenny;Yeah, that's true.
dtrs-11;02-designing-cocreation-workshops;Ewan;So in many ways, if you use that analogy, it's easy. But the problem is that this is completely eh structured, and it's new people, we don't know them, now we don't even know the language and stuff like that.
dtrs-11;02-designing-cocreation-workshops;Abby;And you're setting the scene, I think-
dtrs-11;02-designing-cocreation-workshops;Ewan;"And we're setting the scene, it's very artificial, super artificial. And stuff that you're not necessarily super interested in, it becomes very- but, then again, I think that is my analogy very often, to say ""okay. Imagine these people are your friends, and you're doing something awesome together""."
dtrs-11;02-designing-cocreation-workshops;Kenny;That's a really good analogy actually.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah and it's that- that's what we want to make people feel like, at least in the end.
dtrs-11;02-designing-cocreation-workshops;Kenny;Cause that's like, what I do every weekend with my friends.
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah!
dtrs-11;02-designing-cocreation-workshops;Kenny;"Just sitting there, imagining ""what can we do with a car?"""
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah yeah, for example, for example (laughter). Eh, Abby, what's your expectations?
dtrs-11;02-designing-cocreation-workshops;Abby;I mean, of course they're similar to what has been said already,
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah yeah, for sure.
dtrs-11;02-designing-cocreation-workshops;Abby;"But eh I think also the fact that it's all these diff'- I mean, if it was only about concepting, on a product or service, it would be so much easier. But we have the different layers that we just really need to remember to focus almost equally on. Eh so the sales channels and the communication as well, and to make sure that, it's not one group that split out and talk about the product and another group about the communication, it- everything needs to be eh, everyone needs to be involved to actually give input on all the layers there. So I think that's eh going to be a challenge, but also eh I'm looking forward to it and see how we can actually make sure that we get the input we need on these different layers. Eh, and also, how we- I mean on a- a product or service is so tangible, it's something you need, but (.) will the users or respondents even be able to give input on the way that we should communicate to them? I mean because it's so abstract. ""Yeah, I like ehm, I don't know, I'm kind of an emotional person so,"""
dtrs-11;02-designing-cocreation-workshops;Ewan;Yeah, how can you make it real, [not only- not only project. Yeah, so how to change it real].
dtrs-11;02-designing-cocreation-workshops;Abby;[Yeah, exactly. Exactly. Ehm so I think the- the communication] is going to be really really interesting to- to see what kind of input we get, for the- what stories will actually,
dtrs-11;02-designing-cocreation-workshops;Ewan;Emerge.
dtrs-11;02-designing-cocreation-workshops;Nina;Impact.
dtrs-11;02-designing-cocreation-workshops;Abby;Impact them and- and kind of eh set their emotions on fire ehm.
dtrs-11;02-designing-cocreation-workshops;Ewan;"It's interesting because yeah, you want them to dream, but then you want to have tools in place that pull them down, and say ""okay, now you said this, but how can you- how do you imagine that happening?"""
dtrs-11;02-designing-cocreation-workshops;Abby;Exactly and also all the emotions should be set on fire or whatever you say. When they're actually in this situation afterwards, in a couple of years when all of this is out in the market, then they should-
dtrs-11;02-designing-cocreation-workshops;Ewan;Feel that.
dtrs-11;02-designing-cocreation-workshops;Abby;"Get totally emotional when they see it and really understand, ""oh this THE COMPANY product is totally talking to me, I need to buy it, even though it's expensive and everything, I need- it's what I want to show off""."
dtrs-11;02-designing-cocreation-workshops;Ewan;True yeah, to link their reality with what they will say in these ten hours.
dtrs-11;02-designing-cocreation-workshops;Abby;Exactly. And then also I think (.) because for me it's not about talking to my friends. I mean it's eh- it's what we want them to feel, definitely, but we have all the constraints that we're going to put on the table all the time, and that's kind of what differs the normal conversation.
