dataset;session;speaker;utterance
dtrs-11;04-iterations-on-cocreation-workshops;Abby;and I- there's also comments to (..) (takes out post-its) so for example the name tag exercise step by step, so (..) I mean my notes here are on very different levels
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;eh mine are also on different levels (laughs)
dtrs-11;04-iterations-on-cocreation-workshops;All;(everyone laughs)
dtrs-11;04-iterations-on-cocreation-workshops;Abby;So this is something about name tag exercise (..) having a try out (..) eh about the animal characteristics and write down values which should be used to group the respondents
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;mmm
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;yeah
dtrs-11;04-iterations-on-cocreation-workshops;Abby;so if we eh for example interview eh you two about the different animals, then maybe she can apply the values
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;the values, the Chinese general values of that or characteristics (..)
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;"and then maybe during the name tag exercise, we should also introduce them to that ""it's okay to fail"" (..)"
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;oh yeah!
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;this mentality
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;that was  the thing yeah (.) and confusions sets, fail often fail early
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;yeah so they feel comfortable eh scrapping things and starting over you know they fell it's not right (.) something goes wrong
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;yeah
dtrs-11;04-iterations-on-cocreation-workshops;Abby;yeah so this was like to
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;that's not the
dtrs-11;04-iterations-on-cocreation-workshops;Abby;"be the thing about that (.) if so (..) eh (..) so this thing about, if we actually want to eh for them to cut it out ""thick thick"" (does a scissor noise and movement with her hand) or if we want them to draw it themselves"
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;yeah
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;yeah
dtrs-11;04-iterations-on-cocreation-workshops;Abby;based on the (.) ah on the icons that
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;yeah so they were kinda forced to scrap something up
dtrs-11;04-iterations-on-cocreation-workshops;Abby;yeah!
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;putting them in to a situation, where they they fail, but they see that is's okay to fail
dtrs-11;04-iterations-on-cocreation-workshops;Abby;But maybe (.) And maybe they don't fail. Maybe they do it perfectly the first time. And then it's of course also okay
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;yeah
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;Yeah. And then the big thing I think about this name tag exercise was that she suggested she split it into two session
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;mmm
dtrs-11;04-iterations-on-cocreation-workshops;Abby;Yeah, exactly. The step by step
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;Oh yeah, you already mentioned that already
dtrs-11;04-iterations-on-cocreation-workshops;Ewan;mmm
dtrs-11;04-iterations-on-cocreation-workshops;Abby;"So I have here ""step by step"", ""step by step"", ""pick the two animals (..) which represents you the most"" (..)"
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;yeah
dtrs-11;04-iterations-on-cocreation-workshops;Abby;"then ""next step"", ""next introduction"" (.) ""combine them"", and ""glue them in the name tag"""
dtrs-11;04-iterations-on-cocreation-workshops;Kenny;yeah
