dataset;session;speaker;utterance
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Ewan;These are the profiles? (Different profiles shown on screen)
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Will;So we spoke a little bit about that we- we just decided that that is in ehm, as Amanda said, just a quick sum up of eh some sentiment and commen'- comments that kinda like represent each individual, that can capture a little bit of the essence of this person and so we've got Yen, I think he's eh, in terms of his affluence and so on this is bit more like a self-made man
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Ewan;Self-made man.
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Will;"A little bit more yeah, so he's got more knowledge in terms of-, he likes to feel that he's in control, to think his own decision to know that, so he say ""oh don't tell me what to do, don't try to sell me stuff. I will decide what I want"" so, there's a lot more of, his own decision making from his own network, from online and so on, and not wanting to feel like he has been pressured into making some kind of commercial decision or purchase decision, or don't want other people to influence his choice, ah he likes to find time, you know at home, well either at home or out, you know, at night, because that's the only time he can find some escape from his child, from his wife, and everything else, so he spoke a little about, you know, going out on a cruise in a car for an hour, on highway."
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Ewan;Ah he's cruising the car, okay.
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Will;Yeah yeah yeah.
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Ewan;Yeah that's cool, we've heard that sometimes before as well.
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Will;Yeah, yeah. Ehm, he's got little bit- he's more progressive in terms of knowing what's next beyond the material stuff in life, right? So he talked a little bit about, you know, some observational ehm, cues more classic cues, like you know ah reading from a book, you know, having a coffee next to you as opposed to reading from an iPad, you know living a home where he's very eh, and the community where people know each other, are close to each other, you know, there are no boundaries, ehm things like that, so he seek the kind of closer more authentic ehm kind of experience as, eh, as a part of life. Eh Billy is a younger guy, eh he's not married.
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Ewan;He came in late, right?
dtrs-11;08-sharing-insights-from-cocreation-workshops-day-1;Will;"Yeah yeah. Ah he doesn't look like he has many obligations, ah but I think as a young person he's probably more structured and planned than other (.) people of his age I think, ah but of course relative to Susan and Yen because those two are like married, with children and all that, he doesn't have obligations, ah he's more planned in the sense that he's aware of things like food safety, that need to take care of himself from a health perspective and all that, so he talked a lot things like, ""making sure I go to bed by ten or eleven"" (laughs), as a young person."
