dataset;session;speaker;utterance
dtrs-11;09-clustering-insights-cc1;Amanda;"The distance is just so different and (.) especially when it comes to the business world, I think, being able to surround yourself, all the different touch point you see about ""me"" reflect it, that consistency."
dtrs-11;09-clustering-insights-cc1;Kenny;Ah I think it's a good thinking. So they're quite aware of what can push them down and what can elevate them, and because we don't have that concern, we don't need to [think about what pushed me down] or what elevates me, so we can- or we probably have other concerns that we care about then instead.
dtrs-11;09-clustering-insights-cc1;Amanda;[Mhm, we start at the same baseline].
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah that thing is, and that- you should write that down because that is a good- is a really good insight about that there.
dtrs-11;09-clustering-insights-cc1;Amanda;(Everybody writes post-its) (..) And another example I could think of for this is the- in Chinese, the family name comes first, like in Korea I suppose, before your own. So I think that carries a lot of weight, right? Like, I am a reflection on my family, because it's so intertwined. It's not like I'm different from like, I- you know, my parents' value is different than mine, it's really not about that.
dtrs-11;09-clustering-insights-cc1;Ewan;And of course this goes back to- this is ultra-European, 'cause Europe had tons of revolutions and stuff like that to remove themselves from this. Your father was a blacksmith, you are a blacksmith, that kind of thing, like no, it is not about that, it is about you as an individual, you are a blank canvas, you could do whatever you want, your past should not follow you.
dtrs-11;09-clustering-insights-cc1;Amanda;So then when it comes to commitment, how- how like- okay the question is do we want to enable that, or do we actually wanna give them also (.) the space of not having to feel that burden?
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah so, I feel it's a little disconnected, 'cause I'm- I wrote down the thing with kind of the engine, like you know, you don't prioritize your own needs to cater for others, but other people discover your commitment and sacrifice, and you get elevated to a higher status level.
dtrs-11;09-clustering-insights-cc1;Amanda;Mhm.
dtrs-11;09-clustering-insights-cc1;Ewan;And I think-, eh and you know, and then you reach that level and you- you sacrifice something here, you sacrifice ten here, but you get twelve back, in another place.
dtrs-11;09-clustering-insights-cc1;Abby;I guess something more needs to be added to that. I mean if you-
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah yeah yeah this is the very basic. [Oh sorry].
dtrs-11;09-clustering-insights-cc1;Abby;[No no, but still], in the middle there, something needs to be added because I mean, you- you sacrifice for your family, you tell it to your friends or whatever but they're doing the same thing, then you will not get elevated, then you will just kind of eh,
dtrs-11;09-clustering-insights-cc1;Ewan;Stay the same. But then they of course- you- it is still good- there will always be others that is not doing it, and if you are in this- your little group, that's good. Then you are in a select few group.
dtrs-11;09-clustering-insights-cc1;Abby;"But I guess it's- you will only be elevated if the people not doing it think it's a, really eh good thing, and if it's taking care of your family, other people are thinking ""oh, wow, why do you want to do that? [We're just trying (INAUDIBLE) to do it.""]"
dtrs-11;09-clustering-insights-cc1;Ewan;[Oh, no no clearly], that's a core value, so then we can't use that one, we need to use something else, and that else is basically, you know, sorting your trash, or buying a product that is sustainable or, and that's the thing. Taking care of the family is eh is I think too- everyone is- everyone doing it so it doesn't add that effect, so we need to find something on the fringes.
dtrs-11;09-clustering-insights-cc1;Abby;Yeah.
dtrs-11;09-clustering-insights-cc1;Ewan;"And of course there will be a point, and, you know, it's amazing, there will be a point where everyone is recycling and stuff like that, then that- we need to find something else in that. And but then of course there's hopefully, or hopefully not, but there's many years untill that's gonna happen. Ehm. I don't know if it's connected, and of course I'm not a religious man, but there's an amazing quote from the bible, which is this guy who asks for courage. God- he prays to God ""can I get courage?"", and he never gets the courage, he never gets courage at all, and then, I don't know if God or whoever speaks to this, probably a wise man that they meet, which of course he represents or like that is God, kind of, and he says you know ""what do you think?"" you know, ""do you think God would just give you courage, or do you think he will give you the opportunity to be courageous?"". Eh, and I think that's what we need to do here. We need them-, the opportunity to take commitment, instead of just giving them the free stuff. They need an opportunity to be courageous so they can shine through that in a way. And so I don't know if that with this was connected, but [I know we can- yeah]"
dtrs-11;09-clustering-insights-cc1;Abby;[Yeah but I guess it's] almost the opposite, because if we just give them (.) give them, they need to buy the car of course, (laughter) but if we give them the car with all the ehm recycled eh whatever, then (.) they don't need to do anything, I mean, then they-
dtrs-11;09-clustering-insights-cc1;Ewan;They did-, they already did it, they bought the car.
dtrs-11;09-clustering-insights-cc1;Amanda;I think it's the- it's like the BMW story, in our group, like they believed that even the, the metal or the whatever material, or the screw used in the car already reflected that value. Remember?
dtrs-11;09-clustering-insights-cc1;Abby;Yeah, yeah, that everything was eh recycled and so on, but I'm just thinking that (.) that is the only action they need to do. I mean eh, it's- it's just very very very easy.
dtrs-11;09-clustering-insights-cc1;Ewan;"Yeah but we are-, we have to remember we are not the only piece of this puzzle. We are just one of the actions they take, and they do take several other actions as well, but we are a- a car or an accessory or whatever is a pretty big thing, but then they do all these small things as well, we're just one piece of the puzzle. So I don't think these people will like, they are living like pigs, consuming like crazy and buy a THE COMPANY-PRODUCT and then, it's done. I think they're doing other stuff as well. But we're just one piece of the big puzzle moving forward. Eh and, you know, we cannot start with people that are totally blank. We need to start with the right demographic that has an attitude and like are already kind of moving in to this, like for example Heidi from our group. She was the one who said it, ""we need this commitment no matter what""."
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Ewan;"I don't know if she had a THE COMPANY-PRODUCT or not, but she would be ""okay, these [are the person-""]"
dtrs-11;09-clustering-insights-cc1;Kenny;[(INAUDIBLE) BMW].
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah yeah, yeah. And this is a person that's already open to our ideas. Eh and of course you have the people- the person that- who already had THE COMPANY, he's- but he's like already there, and we wanna do maybe some conquest there, not only resell to the people who already are there. Ehm, yeah.
dtrs-11;09-clustering-insights-cc1;Amanda;So, my (.) bigger question is actually, for some reason I just got so fixated with me-time. I think there's untapped opportunity there.
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah yeah yeah.
dtrs-11;09-clustering-insights-cc1;Abby;Yeah.
dtrs-11;09-clustering-insights-cc1;Amanda;I understand that you're saying okay, THE COMPANY is already catering for just the driver, but I think (.)
dtrs-11;09-clustering-insights-cc1;Abby;But not enough at all, I mean.
dtrs-11;09-clustering-insights-cc1;Amanda;Not enough, or in a very different mindset. So you're catering the driver wanting to make the driver the superhero, but the way I see it is (.) the car catering to the driver as a resting time from being a superhero.
dtrs-11;09-clustering-insights-cc1;Ewan;Mhm mhm.
dtrs-11;09-clustering-insights-cc1;Amanda;Does that make sense?
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Amanda;"Like, the car becomes this safe place for me to let go, and away from all this burden and ""da-da-da-da"", but it is still about me, it's just that I'm not performing what I was expected to do, in a sense."
dtrs-11;09-clustering-insights-cc1;Abby;Yeah.
dtrs-11;09-clustering-insights-cc1;Ewan;"Mhm mhm mhm. Ehm (.) can we try to take that a bit further, how can that- how can we, can we envision some ideas, or like, themes around me-time that is more than a- me-time is just- is a- I think that is a big theme. And we talked about it many times before of course, this is like, we've called it me-time, sometimes we called it THE COMPANY-time, so it's like-. And of course, in the company right now there's a lot of talk about me-time but in a very technical sense because it's like ""what can you do while eh-"""
dtrs-11;09-clustering-insights-cc1;Abby;Work, relax eh [(INAUDIBLE), yeah].
dtrs-11;09-clustering-insights-cc1;Ewan;"[Yeah, work, relax, what can you do-], ""when the car is driving itself, what do you do then?"""
dtrs-11;09-clustering-insights-cc1;Abby;Yeah.
dtrs-11;09-clustering-insights-cc1;Ewan;"Ehm. ""How can you stay un- not bored in the car?"""
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Ewan;Eh is it that way you think?
dtrs-11;09-clustering-insights-cc1;Amanda;I'm just thinking of another analogy. It's like, you go to a café, because you want that social aspect, you want to be surrounded, that's why you're not at home in your study-room, right?
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah yeah yeah.
dtrs-11;09-clustering-insights-cc1;Amanda;But once you go there, you clock in to your own little world.
dtrs-11;09-clustering-insights-cc1;Ewan;Mhm, own little world yeah.
dtrs-11;09-clustering-insights-cc1;Amanda;So I think that- that is a super interesting tension.
dtrs-11;09-clustering-insights-cc1;Ewan;Okay yeah, so you go to a social place to be un-social.
dtrs-11;09-clustering-insights-cc1;Amanda;Yeah.
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah? That's a great eh, that's an interesting area.
dtrs-11;09-clustering-insights-cc1;Amanda;So this is a, I think-
dtrs-11;09-clustering-insights-cc1;Ewan;So you want the comfort of the other people around you, but you wanna have your space there.
dtrs-11;09-clustering-insights-cc1;Amanda;"Yeah, you go there not nece'-, yes, you- the space itself is a good platform for you to meet other, to see other, a meeting place, but it's also good enough for my own, my needs. So it's that kind of tension that I think the opportunity lies. So maybe going back to the tangible car, it could be ""the car itself is catering for me and my family. When I'm driving, I'm not necessarily the superhero"", it's more like The Incredibles where different family have different role in the car, but a different mood from that, is when it is night time, ""everyone is all asleep, I need to rest, this is where- this is my cocoon as well""."
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Rose;(Opens door and comes into room) We have till eleven fifteen?
dtrs-11;09-clustering-insights-cc1;Ewan;We can just push the time.
dtrs-11;09-clustering-insights-cc1;Rose;Till eleven fifteen?
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah, we need probably, we need more time as well, so that's very good.
dtrs-11;09-clustering-insights-cc1;Rose;Ah okay.
dtrs-11;09-clustering-insights-cc1;Ewan;So don't-, if you need more time just eh, it's good for us as well.
dtrs-11;09-clustering-insights-cc1;Rose;Okay, good.
dtrs-11;09-clustering-insights-cc1;Ewan;Eh, Rose?
dtrs-11;09-clustering-insights-cc1;Amanda;Rose?
dtrs-11;09-clustering-insights-cc1;Ewan;"So then eh yeah, use as much time as you feel that you come to a level where ""yeah, wow, that feels good"""
dtrs-11;09-clustering-insights-cc1;Rose;Okay yeah. I think we have been iterating and discussing at the same time, so I think we're on the same.
dtrs-11;09-clustering-insights-cc1;Ewan;How does it feel?
dtrs-11;09-clustering-insights-cc1;Rose;Yeah, it's good.
dtrs-11;09-clustering-insights-cc1;Ewan;"Yeah? Nice. (Rose leaves the room) Yeah, eh, I think it's interesting. I- when you said it I was like also going to do ""okay so, you're a superhero in your normal life, you know you're taking care of everything, when you're in the car you can relax a little bit, because the car is taking over a little bit of that responsibility"""
dtrs-11;09-clustering-insights-cc1;Amanda;"Yes, yeah. It's that boundary and that safe space that, ""who is going to take care of me?"""
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Amanda;So the car, or the brand, is the one that will take care of me, 'cause I have been taking care of everyone, you know, from nine am to nine pm.
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah. There's a lot of good storytelling in that.
dtrs-11;09-clustering-insights-cc1;Kenny;I think there's a lot of good things in it, but I- I also feel that within THE COMPANY, that topic is kind of exhausted already. So I'm a little bit afraid of-
dtrs-11;09-clustering-insights-cc1;Ewan;In a technical kind of sense, at least.
dtrs-11;09-clustering-insights-cc1;Abby;Yeah but maybe [the accessory is eh-]
dtrs-11;09-clustering-insights-cc1;Kenny;[Yeah, but in many ways- maybe accessories] has ne'- I think accessories has never worked with any of the themes when (INAUDIBLE) (laughs), [so in that sense it might be alright].
dtrs-11;09-clustering-insights-cc1;Abby;[Yeah but so maybe it's actually-], and maybe it's actually something that would be the exact match for the next cars?
dtrs-11;09-clustering-insights-cc1;Kenny;Maybe.
dtrs-11;09-clustering-insights-cc1;Ewan;What I'm trying to do is that- or trying to understand, can this exist, eh as something tangible or a service. The story- I can totally buy into the story, but can it exist- how can it be manifested?
dtrs-11;09-clustering-insights-cc1;Amanda;Well this is where the co-design comes in and they, they need to tell us how, right?
dtrs-11;09-clustering-insights-cc1;Kenny;Yeah.
dtrs-11;09-clustering-insights-cc1;Ewan;Yeah, true.
dtrs-11;09-clustering-insights-cc1;Abby;But I guess it could be everything from extra comfort to (.) services [that- yeah exactly].
dtrs-11;09-clustering-insights-cc1;Ewan;[Automation and so on and so on].
dtrs-11;09-clustering-insights-cc1;Amanda;Yeah so, so is this the level of theme we wanna give them? Like, here's the tension, the me-time, the duty, okay, go figure out how to- tell us all this.
dtrs-11;09-clustering-insights-cc1;Abby;Mhm.
dtrs-11;09-clustering-insights-cc1;Ewan;Alright, so what I see here is that, and I feel (.) the awareness and responsibility is base layer. That is a base story you buy into, and that is ever-present. So knowing that you buy a car that people were happy making and the s'- the products is sustainable and the company's responsible and everything, that is-
dtrs-11;09-clustering-insights-cc1;Abby;Yeah, but it- it will probably- most likely not be the reason for them to buy it, [right, but it's the- it's the, it's-]
dtrs-11;09-clustering-insights-cc1;Ewan;[No no no, but it is a base, it's a core value of] why you buy it, and we see this eh and, it's just-
dtrs-11;09-clustering-insights-cc1;Abby;Yeah either it's a core value, or it's the bonus that you get. It's- it's- I guess there's two different ways to see it.
dtrs-11;09-clustering-insights-cc1;Ewan;I think- I think to THE COMPANY, to exist it needs to find a core value, it used to be safety, that is exhausted. Now it needs to be something else.
dtrs-11;09-clustering-insights-cc1;Abby;Yeah but, seen from the respondents sides, or the customer side, is it- why do they buy the THE COMPANY-PRODUCT, is it because it has the core value of being eh environmental friendly, or is it the features it has, and then it's a bonus for them that it's eh
dtrs-11;09-clustering-insights-cc1;Ewan;I think we need to- we need to change this so it is the core value, [and they call the feature-]
dtrs-11;09-clustering-insights-cc1;Abby;[Yeah, that would be absolutely the best].
dtrs-11;09-clustering-insights-cc1;Ewan;[All the values], are the bonuses. And that's kind of maybe really what pushes them over the edge, eh to buy it, but you shouldn't see the environment'- like the sustainability as the bonus, that should be the base and everything else will stack on top.
dtrs-11;09-clustering-insights-cc1;Abby;No but I-, it's not how I should see it, it's eh it's- it's- I'm thinking what is it (.) that they actually want to buy into?
dtrs-11;09-clustering-insights-cc1;Ewan;So they wanna buy into the-
