dataset;session;speaker;utterance
dtrs-11;10-iterations-on-cc2-design;Will;Shall we, after they start doing the company (.) the idea of the company, right? And as we give them the task of doing a product or service or solution, should we already deliberately ask them to say for example include maybe two of these dimensions? So whatever product or service you've got- you're planning to do, must incorporate two of these, [must give some-]
dtrs-11;10-iterations-on-cc2-design;Rose;[Yeah, this- that was] what I thought was gonna happen, like we give them [the constraints- we give them the constraints to-]
dtrs-11;10-iterations-on-cc2-design;Will;"[So, as they build it, and then as they share it back], eh then we structure in some of the other constrain. ""Now, you didn't think it environment, now what if I tell you you've got to be this""."
dtrs-11;10-iterations-on-cc2-design;Rose;That was what I thought it was gonna be.
dtrs-11;10-iterations-on-cc2-design;Ewan;Mhm mhm.
dtrs-11;10-iterations-on-cc2-design;Amanda;So what are- so these two things is the same across. Let's say health and status symbol.
dtrs-11;10-iterations-on-cc2-design;Ewan;Mhm? Those are shared.
dtrs-11;10-iterations-on-cc2-design;Amanda;Yeah, and then there is all this bottom layer.
dtrs-11;10-iterations-on-cc2-design;Ewan;Yeah. So I really enjoyed it, and- enjoy this, and eh
dtrs-11;10-iterations-on-cc2-design;Amanda;Or whatever that is, maybe you guys wanna do this.
dtrs-11;10-iterations-on-cc2-design;Ewan;Yeah, yeah. And this I really enjoy, because this is for me super super important.
dtrs-11;10-iterations-on-cc2-design;Kenny;I think actually- [I think health is, definitely-]
dtrs-11;10-iterations-on-cc2-design;Will;[Yeah I think so].
dtrs-11;10-iterations-on-cc2-design;Rose;[Health is somewhere-ish, not at the bottom].
dtrs-11;10-iterations-on-cc2-design;Kenny;So I think it should be above. I think environment should be down.
dtrs-11;10-iterations-on-cc2-design;Ewan;Yeah?
dtrs-11;10-iterations-on-cc2-design;Abby;What do you mean- what is this eh division?
dtrs-11;10-iterations-on-cc2-design;Rose;[Two components- yeah].
dtrs-11;10-iterations-on-cc2-design;Will;[Some of them have two-two] things like, so it's got to be- have one from here and one from here, something like that.
dtrs-11;10-iterations-on-cc2-design;Rose;Yeah, different-
dtrs-11;10-iterations-on-cc2-design;Will;Is that way alright for you?
dtrs-11;10-iterations-on-cc2-design;Ewan;So, what I was thinking was that, you can have whatever- like, or maybe I was thinking it more (.) so, the thing they make needs to have some sort of status symbol in it.
dtrs-11;10-iterations-on-cc2-design;Will;Yeah yeah, okay.
dtrs-11;10-iterations-on-cc2-design;Rose;Yes.
dtrs-11;10-iterations-on-cc2-design;Ewan;And that is- that's like given- that's a hundred percent. It needs to have this.
dtrs-11;10-iterations-on-cc2-design;Abby;Exactly.
dtrs-11;10-iterations-on-cc2-design;Rose;Yes.
dtrs-11;10-iterations-on-cc2-design;Ewan;If it has this or this, I- we don't really care, that's-
dtrs-11;10-iterations-on-cc2-design;Abby;So, this is actually what we give them up here, then.
dtrs-11;10-iterations-on-cc2-design;Amanda;Yeah.
dtrs-11;10-iterations-on-cc2-design;Ewan;Yeah.
dtrs-11;10-iterations-on-cc2-design;Kenny;Yeah.
dtrs-11;10-iterations-on-cc2-design;Abby;You have a company, it has to do something with status symbol, [it has to be about eh-]
dtrs-11;10-iterations-on-cc2-design;Rose;[Yes].
dtrs-11;10-iterations-on-cc2-design;Ewan;[You- you can- you should] change a lot of it, but one thing you need to have, is status symbol.
dtrs-11;10-iterations-on-cc2-design;Abby;Yeah.
dtrs-11;10-iterations-on-cc2-design;Rose;Yes. Agree.
dtrs-11;10-iterations-on-cc2-design;Kenny;[Sub-health maybe].
dtrs-11;10-iterations-on-cc2-design;Will;[(Subtle or obvious, but].
dtrs-11;10-iterations-on-cc2-design;Ewan;Yeah yeah, if it's all [understated, overstated, whatever].
dtrs-11;10-iterations-on-cc2-design;Rose;[We got this, who cares].
dtrs-11;10-iterations-on-cc2-design;Kenny;[Health and stat'-], status symbol.
dtrs-11;10-iterations-on-cc2-design;Amanda;Health and status symbol, or just status symbol?
dtrs-11;10-iterations-on-cc2-design;Will;I was thinking health, but maybe broaded into say well-being, I was thinking.
dtrs-11;10-iterations-on-cc2-design;Ewan;Yeah, maybe what- it needs to at least- we shouldn't go straight to air quality [and stuff, that should be-]
dtrs-11;10-iterations-on-cc2-design;Will;[No. So I was thinking broader here].
dtrs-11;10-iterations-on-cc2-design;Abby;[Yeah, or exercise. But there was really food and exercise they-]
dtrs-11;10-iterations-on-cc2-design;Will;So I think in health then they'll say- they'll surely think about safe food, safe water, pure air, something.
dtrs-11;10-iterations-on-cc2-design;Kenny;Yeah yeah.
dtrs-11;10-iterations-on-cc2-design;Abby;Yeah. (..) And maybe- I'm thinking if we had- should have a third one as well, because (.) at least in our group it was very, yeah, and I don't know if well-being is helping if it just takes the eh, the mental part in as well, but (.)
dtrs-11;10-iterations-on-cc2-design;Amanda;Body and mind well-being.
dtrs-11;10-iterations-on-cc2-design;Will;"Well, it should ""body and mind"" or ""body or mind""."
dtrs-11;10-iterations-on-cc2-design;Abby;Yes.
dtrs-11;10-iterations-on-cc2-design;Kenny;Yeah, or mind.
dtrs-11;10-iterations-on-cc2-design;Will;And or mind.
dtrs-11;10-iterations-on-cc2-design;Abby;Yeah? Yeah.
dtrs-11;10-iterations-on-cc2-design;Will;To be as- allow them to do anything they want. [If they think it's gonna be physical-]
dtrs-11;10-iterations-on-cc2-design;Rose;[I think just within realm], they should be able to get it, right?
dtrs-11;10-iterations-on-cc2-design;Kenny;Yeah.
dtrs-11;10-iterations-on-cc2-design;Abby;But do we want this one in as well? I was just thinking if- if-
