dataset;session;speaker;utterance
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;So we are trying to- to rephrase the enjoying life.
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Mhm?
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;And eh we try to- to take it from top down. So, going from good life, and ending somewhere in enjoying life, the theme. So, I think we- we found it actually pretty hard to crack open. We kind of started from scratch, but to base in the old files that you wrote, and eh tried to take something from one file, take something from another file, but I think everything turned out to be a little bit messy and we couldn't really navigate through all the things. And after a while I think we realized that we had to base it in the last file that you wrote about enjoying life, and then I think we wrote some things that we used. For example the beginning about where we came from to simplify the bowl of good life things, because it's not really the essence of eh of the theme. So we wanted to quickly go through the- the introduction of eh of the overall- overarching theme, good life, and how it leads to enjoying life. So I- I don't know, should I just read it?
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Yeah.
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;"So, ""enjoying life. Our project immersion in China tells us that the (bali co?) has seen rapid economic progress. The Chinese mentality of ""endure now, benefit later"" has become the recipe of success with aspirations to achieve a good life""."
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Mhm?
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;"""From the last session however, we heard from you that the path to achieving a good life is not so straight forward. The pursuit comes with concerns and challenges- challenges, living in an urban society. Not all of these concerns are within our power to control"". Insert quote quote quote quote."
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Mhm?
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;"""Despite these hurdles, you find ways to endure your (.) the uncontrollable""."
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Endure the uncontrollable.
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;Yes.
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Alright.
dtrs-11;11-linking-insights-from-cc-to-project;Will;Wow, that's-
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;(laughs) It's a mix.
dtrs-11;11-linking-insights-from-cc-to-project;Amanda;Yeah! (laughter)
dtrs-11;11-linking-insights-from-cc-to-project;Ewan;Kind of want that on my t-shirt. (..) (Off task) (..)
dtrs-11;11-linking-insights-from-cc-to-project;Kenny;So- so we used a lot of the words from- from the- from T-
