dataset;session;speaker;utterance
dtrs-11;12-briefing-with-stakeholders;Ewan;"So what has happened until now. We have had eh Nina arrive, eh Amy, Rose and Will, and we had three days of prepping, and then eh Abby and eh Nina and David arrived, and we prepped for another, one day, we had a session, meeting these beautiful people (..) (INAUDIBLE) which is eh 5, 10, 15-minutes from here, ideally, eh and you can see this picture is in the end. Everyone created their own animal which is based on two animals they chose they combined into one, and then they told a story why they chose those animals to kind of reflect who they are, this was of course to avoid them saying ""I'm a CEO"", and ""I'm a housewife"" and so on. They really enjoyed this exercise and they had amazing answers and amazing abilities to eh do creative work, that was kind of one of our biggest learnings, like, holy shit we should have ramped up that thing. We learned a lot in the first exercise. I think that one of the biggest learnings were that we are very much on track with our thinking, which is really great to confirm. You can say, oh maybe we wish to learn some amazing new stuff, but eh in the sense of what's good and bad, if we are not tr- we have not seen the tendencies of what we saw in CHINESE CITY and CHINESE CITY and so on, we would have kind of get trouble. But we saw it, and it came out in a little bit different way, but it definitely make sense what we are doing, which is really good."
dtrs-11;12-briefing-with-stakeholders;Ewan;"So, what we did eh this day was basically to- to try to drill deeper into an area we call ""good life"", which encompasses health, and good life, and body and mind and so on (..) safety and security, everything into one package. We were dividing into groups with two translators in this room and we populated the room as this room, as kind of a active design room.So they knew that there wasn't any finished product or anything, we didn't reveal that we were from THE COMPANY eh we got to talk about a lot of interesting stuff, so we'll talk more about this later. Eh on eh monday, we will have this session, which is co-creation part 2, which will be a much more, you can say active session when it comes to them to kind of produce something. First session was more them we were defining something, now its producing something."
dtrs-11;12-briefing-with-stakeholders;Ewan;"Ehh this is just for them to put their mobilephone into sleep, in their mobilephone hotel, which is a box, and eh and eh it's gonna flip through the day here, we gonna start the day, this has not been translated yet, we are gonna have a recap of the day on monday, what's gonna- what has happened, and then we have some nice timelapse from you (pointing at David) and some images and stuff like that. Then eh we're going to introduce, we can maybe use this one, this is the flow of the day, we gonna- we introduce a condensed theme eh which we have currently called ""freedom, enjoy life, me time"", it's that- the theme we wanna start with. Then we're gonna have exercise 1, which is for them to form a company, two groups will then form one company each. And of course that's an anology for (.) themselves, but also how they would like to sell and communicate stuff."
dtrs-11;12-briefing-with-stakeholders;Ewan;"Exercise number 2 is for them to ehm create the company,  oh maybe that's exercise one, create company values, right? That actually is exercise 1, so they form a company, then they create company values. They can choose any role they want, looking into themselves, but they need to have ""status symbol"" in there, that's gonna be one of the main values, that the company is gonna encompass, and ""health, well-being, body and mind"", needs to be another. Then they can choose other stuff also that keeps them excited, and of course we really want (.) stuff that makes them excited at least, and eh some stuff that makes an appeal to them. Then we gonna have lunch, which you just ordered, and eh then we gonna have exercise 2 continued, and this is when we eh sorry, inbetween here, they're gonna introduce the company to the other companies and quick share back on that."
dtrs-11;12-briefing-with-stakeholders;Ewan;Then we start on kind of the real stuff, which is that they will create two products that the company- or hero-products, one compa- one product each that the company will kind of push forward. That's gonna be their hero-product. And that we don't know what is yet, could be anything, and that is something that, it could be a service, could be a domestic robot, i don't know, it really doesn't matter for us what the product is, because what we'll wanna know is, how do they make decisions?, what is important to them? how do they think?, how do they discuss this?, what stories do they pull up?, what stuff do they disregard?, that's what we need and the product that they choose, if it's a frying pan, or a domestic robot, or eh like a food delivery service, doesn't really matter, we will remove that and input our own thing when they come back and continue this work. But then we have a really good understanding of, you know, how they get from A to B, and the decision-making process they do.
dtrs-11;12-briefing-with-stakeholders;Ewan;Ehh and we gonna have a break, eh it's gonna be pretty intense, so well, we need a break, then we gonna have a review of that exercise eh which, if you can remind me of that review together- oh sorry yeah, then eh as we move along we this, so they of course have the company profile and they have their own needs, but we have some modifiers that we are gonna probe into with them, so for example they made a domestic robot, and then we can ask the, you know, how can you- or how is safety and security represented within this product. Eh and you gonna do it in a smart way, we're gonna like have like a mobile phone, or whatever that is gonna ring, like oh, we just got a call form our investor abroad, they really need to incorporate safety and security in your product, you need to do that now. And then they do it, and they discuss what is (to go?), what is to happen to encompass that. Then we (INAUDIBLE) we can continue probing kind of shaking the cage a little bit, every time they have build something, to kind of force them to rethink what it is, and suddenly the product maybe become unattractive to them, and then we know, okay so  we know that, that we can't play on that thing, or we have to play this way to make it- to make it attractive.
dtrs-11;12-briefing-with-stakeholders;Ewan;"So we have all these, and maybe the one- the most interesting one is ""sexy commitment"", and sexy commitment, oh, is not what yu think it is (everybody's laughing)"
dtrs-11;12-briefing-with-stakeholders;Kenny;You sure?
dtrs-11;12-briefing-with-stakeholders;Ewan;Yeah. I was also disappointed (.) I was also disappointed
dtrs-11;12-briefing-with-stakeholders;Ewan;Eh sexy commitment is basically THE COMPANY's challenge, you know we are a safe brand, it's about caring, it's not particularly sexy, we need to find a way to make the commitment we make eh- making that st- mm- make them stand out, and you know, we are committed, I have so much surplus and so much awareness, that i take responsibility beyond myself, beyond my family. That is our sexy commitment as of right now, we are gonna call it somehing else, but eh, we gonna probe in to make sure that eh the decision-making they do, is we understand that as much a possible, and really get the direction they wanna go in. Then we have the review, and eh just remind, is the review with the other team or is it just internally?
