dataset;session;speaker;utterance
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;Let's have a (.) a separate one called a product, right(..) even though we're not going for it all the way (.) I mean  the product they come up with is not something that we (.) really (..) want to continue with, but maybe just some of the thinking around [what] was [important] (.)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;[mmh]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;[was important for them]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;Yeah like the product should be able to create value for (.)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;mmh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;mmh mmh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;for the society like later on, or like you know, like (.) there was kinda of the recycle balls and like
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah and it's very much in to the story (.) but I'm just thinking maybe there are some (..) more specifics for the (..) what we need to remember for the products (..) if any
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;mmm (..) (Off task) (..)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;I think the important thing is of course (.) the hole thing haha but the service as the most important thing, but the service couldn't do it all. It have to have a carrier of some sort
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;mmh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;maybe it's a physical product or something else(.) I think we could- maybe it's nothing important
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;"and I was actually thinking of that, because it's- it was so strange that they didn't just say (.) ""it should just be an app for my phone"" I mean they have their phone on them ALWAYS (..) but (..) maybe they didn't think of it or we didn't ask them. It's kind of - if there needed to be a carrier, if it was a (.) watch or a terminal of"
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;but they didn't see their phone as the carrier
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah exactly
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;but they could
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;hmm?
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;if it's kinda good no?
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah? Maybe but I'm thinking eh I mean (..) if it needs to be convenient and all of the extra things that I'm saying, it almost SHOULD be the phone
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;yeah 'cause we (.) we didn't need to ask into environment, it could be because they only want it to be on the phone
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;maybe the- maybe they feel like it's (.) if it has to be a good service, it has to also be some different kind of carrier on the phone
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;or if they are focused more on things like this (touches her watch) wearables and apple watches
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;and (INAUDIBLE) about the health and medical stuff (.) and then you don't rely on the [phone or the other]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;[yeah you don't really (trust your phone on your body to do?)]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;I don't think it was [because of
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;[because it was much more] specific to health so there had to be something that would (INAUDIABLE) to get it
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;mmh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;But I guess (.) if we have a carrier it's much easier to tell people that or to also
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;Like a talking of the new thing you bought
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;yeah alright as it's much more like in the real life if feels more- because I think they were thinking that the thing itself should be (INAUDIABLE) able to functions beyond just the services
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;mmh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;ehh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;so maybe the- maybe the point was actually that (.) it had to be, yeah, some kind of wearable (.) a wristband or something like that? But the service it self would be available on the phone firstly
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;so they like read information whenever they [wanted to], so that was kind of (.) the service
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;[yeah]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;connected
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah exactly, so it would monitoring whatever (.) some kind of small devices in your house, in your (.) ATM air cleaner or something on you, and then you could (.)[see the services]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;[actually see. As they mentioned the IPad]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;Yeah, yeah they mentioned the tablet exactly
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;so should I write that down? Like the (..)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;write (.) what we just said hehehe
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;haha
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;haha
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;haha like you just said
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;like I just said here (everyone laughs)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;okay hehe
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;fine hehe okay
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;I'm writing 'customisation is the uniqueness'
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;yeah!
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;they talked about making it eh unique and (.)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;yeah, yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;okay
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;that where also more at THE COMPANY office, that eh sometimes the copies are out before we launch ours, because (.) we have pre-shown them and they are so fast and it get copied so it should be our stuff should be really unique things, that can become- there is a lot out there
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;okay
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;you should see it as wearables, something that measures things - blood sugar (INAUDIBLE) and they want some thing out of that (.) something (.) a service
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;They weren't straight here about what they wanted it for? Anything, something healthy or something. They weren't like super clear what were they - did you get any (.) specific things about 'more like that' , 'yes, we like it to be like that' (.)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;I guess I didn't really agree. It could be [anything from]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;[yeah could be different ideas]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;for instance to help them, to give them solutions or monitor at least
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;Exactly (..) and all the way down to even (..) even some kind of eh advice for some Chinese medicine, because of [the review]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;[Yeah, point out the social-]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;and make the acupuncture ahaha it self
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Nina;yeah that was kind of, yeah, extreme, but
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Tiffany;mmh
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;but down to the solutions, but the newer that the normal medicine hehe (.) that they couldn't get that from the- from the robot, because it had to be a real eh (prescription?)
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;a bit about the Chinese medicine. He was trying to sort of (.) create like who is into the (…) with the questions to do it, because he could understand like, it was better we take pulse to kinda and (INAUDIBLE) it suggests by fitting and the sending up the pulse flow, how your health is, so that- because people understand that symbol and then understand how a robot might be able to (mime?) the same things. on the other hand if we just had a robot so say that (.) eh so you need some kind of technology or something like that, that then can tell you that- here's- can be like (accuracy?) tell you about variables, statistics and then- then there is the last credibility because like, how can a robot possible be able to understand so much, so
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;hmm ah yeah yeah yeah
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;because what they were [trying to- to]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;[yeah that's right]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;so I guess if you have, let's say a robot, just to build a very technical basically, you mustn't say- because there is a pulse on this, or pul- a system behind that is supporting the robot. So I think what you are trying to do is to create a- a like a resent to believe to make it a more compelling story like, how do you go about doing this
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;[mmh mmh yeah]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Kenny;[it has to be incredible]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Abby;so something about (.) actually explaining the (.) the functions, or how it's made [for them] to actually trust that
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;[mmh]
dtrs-11;16-sharing-insights-from-cocreation-workshops-2;Rose;yes
