dataset;session;speaker;utterance
dtrs-11;19-recap-with-consultants;Ewan;"So, of course on our- actually explain this quite well, did you kind of get to this part of it?, like mmm, like where do you wanna be and stuff like that. And kind of these- this is our representation of what ""this"" is. We have different, you know, insight stories that links to different things, and it comes out here in different kind of opportunity packages of whatever where we go through collecting everything. Ehm. So what we wanted to say with this thing was that, okay was the different stages, maybe I can make you come over, if you want? What's the different states that you can be in, in the pursuit of embracing the brand. Ehm well ""this"" is the purely practical one, this is like a ""I'm aware"", so this is before knowing this ""aware"", this is more like yeah ""taking action"", and this i kind of ehm ""embodying the brand"". And we feel like most people in China or here, of course we- the people we talk to are typically a little bit ahead of the curve and stuff like that, so, but we typically see that more here, maybe even something- sometimes up there, but maybe the majority somewhere in between here. Ehm so we maybe or as of right now- this is of course (INAUDIBLE) focus. They want to explore they're open to exploring what THE COMPANY is. People that are here are kind of over this line, they are already in the pipe. So they are interested and then just need to be encouraged to co- to continue. We might see a link between finding these people that is in the Yen-state (Yen is a workshop participant whom the team was particularly excited about). Ehm but Yen-state for THE COMPANY of course, he was in for Tesla. Tesla has some unique capabilities there, but we  need to be narrow enough to- to engage Yen. And then he will hopefully be able to support kind of pulling these people over (INAUDIBLE). And and Yen being, we talked about that yesterday, kind of the wolf, this- you can't domesticate him so we need to make sure that we are really catering for him, so- so he won't turn and (INAUDIBLE) back-fire. That's of course our longer plan. Eh then talked a little bit about this, eh which is the kind of e- different states, we kind of explains this, so we used the anology of tea. Which is (INAUDIBLE) ""I drink tea, because im thirsty"". Very like practical. And this one is like ""I find out what my favorite tea is for certain  occasions for example in the morning, oolong, because it's strong it wakes my up. In the evening, camomile I gets relaxed and I feel the need to find the different flavors. This can of course be different portfolio lines, that we have. And then this one i like ""oh my friends know more about me, and what I am, 'cause you know, they've seen my tea collection I have som specialized equipment"" (INAUDIBLE) starting to express. And then this one like ""yo people come to me becuase i REALLY know all about tea, and it's I know a lot of tea, i know how to make it, and the subtle differences. And eh they can even have a tea ceremony in their house and (.) really kind of be in the role model."
dtrs-11;19-recap-with-consultants;Will;And knowing like the social contacts, history, traditions and (INAUDIBLE)
dtrs-11;19-recap-with-consultants;Ewan;"True, yeah yeah yeah. And the question is at which tea level are you? Which tea level should we focus on, and how do we get them there. That's kind of the whole thing here, and we talked a little bit about the- that it's really cool that we are in the accessory world, because then you- you can sample the good without making the full commitment. Now, buying a car is a huge deal, both money-wise, but also expression-wise. Like, are you a Volvo-guy, i don't know cause i don't know so much about it. Here. I'm a Mercedes-guy. Ehm but if you can start entering the brand through some sort of accessory value set, in a way, you can start understanding more and more of what it is about, and then you can maybe- so we are of course only focusing on the accessories, but like in- as for the brand as a whole, it's a nice entry point into the value set. It could be, at least. Then we talked a little bit about this, which was kind of a- kind of the stretch in a way, where like the comfort-zone is definitely here, that me, and my family and my friends. And then because there's a lot of duties and chores and stuff like that, there they seem to also- because they push, they want part of this, it's like my pockets of enjoyment, it's kind of personal in a way. It can also be with family that the- the- the utmost side, in this side, it's like, ""you, you're doing your stuff purely for yourself"", which they kind of verbalized a little bit, but it's kind of a little unspoken as well, it's like- and I guess that was what they were react a little bit on in the, kind of the schackles, breaking free of the schakles of family. Cause it's really strong for them, of course I think they feel it (.) somewhat, but it's not maybe something they talk about. And then you have this one on the completely other side, it's ""Me as a role model"", which is kind of somwhere here, on the top we look, ""I am doing stuff because it's important to me and I don't really care so much about what if others are doing it necessarily. A sexy commitment lives a little bit here. There could really well be that there is a circle here, ""i use my pockets of enjoyment to learn something new, experience something new"" better than ""share"" back here."
dtrs-11;19-recap-with-consultants;Abby;"But I guess, all of this is about, enjoying life. The overall theme is still, ""enjoying life"", so it is also enjoying life eh"
dtrs-11;19-recap-with-consultants;Ewan;Here.
dtrs-11;19-recap-with-consultants;Abby;with friends and family and enjoying life, yeah, so it's not
dtrs-11;19-recap-with-consultants;Ewan;no no no, it's not moving out of it, it's within under the umbrella, it's like what do you turn the volume onoff and onon-
dtrs-11;19-recap-with-consultants;Abby;"yeah, but also just so that it's- the enjoyment is not just in ""that"" part. I mean that's just what it could look like."
dtrs-11;19-recap-with-consultants;Ewan;Ah okay, yeah, no-
dtrs-11;19-recap-with-consultants;Kenny;It's like the spectre of eh
dtrs-11;19-recap-with-consultants;Abby;yeah
dtrs-11;19-recap-with-consultants;Kenny;of enjoyment
dtrs-11;19-recap-with-consultants;Ewan;"yeah definitely (..) ehm yeah, then we tried to look at, okay, we have (..) okay let's say, we have a portfolio eh portfolio line here, which we examply to some examples, and those examples need different types of excecution, communication-wise and so on, and so on. And they can share a lot of the tools, communication tools and story tools and sales tools. Ehm but theres no doubt that some of them will be in the total post-modern world ""yeah we get (unclear speech) to make movie eh and then a live performance in the top of eh CHINESE CITY Tower, and other craziness, and then we have the everyday stuff, here, which is more like the basic stuff, more practical stuff, and other tools, but they all kind of follow a little bit of the same thing. Eh but the- the more important thing is that of course we want to provide ""this"", not just the, whatever that is, like,  oh yeah some sort of example of we make this cupholder or whatever, we make this ehm (.) this one is like eh a kit for example. Where do we have the kit? Night cruiser kit. So that's could it work here in ""my pocket of enjoyments"" or the wife is doing something different, she's like, eh you know, doing her pocket of enjoyment, and the kids they are went to bed, or are at the grandmothers place, then you take your beautiful car and you go out and cruise around in it, and it has some sort of kit there. We use this  purely to examplify, but of course the danger is that the organization, they don't see any of this structure, they only see this. Like of course the fear of us, talking about the domestic robot. And Tiffany and Hans writing up ""there's some sort of tea-making robot"", but ehm, yeah-"
dtrs-11;19-recap-with-consultants;Abby;"Ehm, but this is almost, even more dangerous to put it, because then they will think, ""okay, so it's all about the individual, it's all about being alone, it's all about-"""
dtrs-11;19-recap-with-consultants;Ewan;Yeah, yeah, yeah
dtrs-11;19-recap-with-consultants;Abby;So we really need to be careful about which ideas we are putting in there.
