dataset;session;speaker;utterance
dtrs-11;20-recap-with-stakeholders;Ewan;Okay, should I go through this part of it?
dtrs-11;20-recap-with-stakeholders;Tiffany;Mhm, yes. 'Cause it was so good material, but we-
dtrs-11;20-recap-with-stakeholders;Ewan;Oh very good. Maybe if you wanna come over here. You can see the small fine details.
dtrs-11;20-recap-with-stakeholders;Tiffany;Okay. (laugther) Show us.
dtrs-11;20-recap-with-stakeholders;Ewan;So yesterday we went from this side, which is kind of this eh innovation matrix, which is really good to use.
dtrs-11;20-recap-with-stakeholders;Tiffany;I think it is very good.
dtrs-11;20-recap-with-stakeholders;Ewan;"Also it will also tell us where are we and where can we go, where should we go, and it's- I think we also look at- maybe these are our to do's when we come back. What is our challenges and what is our to do's. And the cool thing about this is of course that eh we can come together, for example with the ACCESSORIES DEPARTMENT management team and stuff like this. We can say ""this is where we feel we are, where do you feel we are?"" and they can- both that we can have a joint understanding and then, this is where we want to go."
dtrs-11;20-recap-with-stakeholders;Tiffany;Yes.
dtrs-11;20-recap-with-stakeholders;Ewan;This is eh what's the- what's the risks of doing this? What is the benefits and so on and so on.
dtrs-11;20-recap-with-stakeholders;Tiffany;"And ""do we have the budget for it?"""
dtrs-11;20-recap-with-stakeholders;Ewan;Yeah. (laughter) Or can we afford not to have the budget for it.
dtrs-11;20-recap-with-stakeholders;Abby;But I guess it's als'- I'm thinking first it's about identifying where they are, and then I guess it's- I mean, I guess all the products shouldn't be on the-
dtrs-11;20-recap-with-stakeholders;Ewan;No no.
dtrs-11;20-recap-with-stakeholders;Abby;It's not about moving all of them.
dtrs-11;20-recap-with-stakeholders;Ewan;"No no no no this is just to see kind of where this is like, okay, we have existing customers here, then what will be the products and so on and so on, so this is not so much about innovating within this, it's just like how can we place the different- where do we need (any things?) and what we- can we take. Okay, then we have this one, which is kind of we're working with it, it's not like in a perfect shape, but is eh different- what is the insights that leads to opportunity areas and what are- these opportunity areas have different communications, and what is the product and service? And which sales channels make sense to push it. And then you have this part here, which is- it started out, maybe it's a little difficult to see it now, but it started out that we are trying to make some sort of (.) ah we can say framework for how (.) the Chinese mindset is. One way of seeing, where on one side we have this pockets of enjoyment, and where on the other side we have this one which is called ""me as a role model"". And this is kind of where we stopped yesterday to try to understand what this is. And in the middle we have ""my comfort zone"". And you have different bubbles of engagements here, and some of these, eh you can use this one, like pockets of enjoyment can be used for some type of story and communication of products and ""my- me as a role model"" could be something else. But there's also a- we feel there might be some sort of circle here as well, like you go over here, you create something here that has effect here. And ehm we feel that the- kind of the health part and the good life part is the basis of this. It's kind of what we know already with the ""health as- (to your neighbour?)"". Eh then up here, this is where we- what we didn't talk about yesterday and that is the different states- stages, or did we talk about this one? Or you wanna-"
dtrs-11;20-recap-with-stakeholders;Tiffany;Very fast.
dtrs-11;20-recap-with-stakeholders;Ewan;Real'- yeah, very fast. You want a recap of what we were talking about?
dtrs-11;20-recap-with-stakeholders;Tiffany;Don't you want him- to pull him up there dubi-dubi-doo? (laughter)
dtrs-11;20-recap-with-stakeholders;Ewan;"Yeah that's true. Yeah so, this is the different stages of our customers in China. It could be used anywhere, but this- we're talking about China right now. And we have currently identified kind of four stages, with- the first one is basically the very practical stage which is right now it's like ""I need a head rest. I need af floor mat. I need a car. Just take me from A to B."" It's really difficult to do anything with these people."
dtrs-11;20-recap-with-stakeholders;Hans;Mhm.
dtrs-11;20-recap-with-stakeholders;Ewan;"But, we need them to at least get to this stage here, which is kind of the explorer stage, the one to one where they are seeking information, and they are- they want to know and explore if- how THE COMPANY fit into their lives. And eh that's- this is a good place, 'cause now okay, they're entering the THE COMPANY-world, now we need to be ready with really quality relevant products and services and storytelling so they say ""wow, this is interesting stuff"". You know, ""show me more. What is this?"" Eh and this is where a lot of people fall of because we don't have interesting story, we don't have interesting stuff, they don't understand it, and so on. They go to some- they test out different things until they find something that is useful. And typically that is not ehm THE COMPANY-stuff. But of course this is also where we see an effect, because (.) eh with lowering prices. We will sell more because it is cheaper, but not because we have a stronger brand or anything. It's relevant because it's cheap. Which is not kind of the THE COMPANY value we want to (.) to push. Then we have this line going here, and this is- when I- over at his this stage, we really start talking about okay, this is going where we wanna go. 'Cause this is ""I want THE COMPANY to help me broadcast my values"". THE COMPANY has a value set that they can put on like a pair of pants, and they can walk around in those THE COMPANY-pants and it tells the rest a little bit who they are and what THE COMPANY- what THE COMPANY-PRODUCTS they represent (laughs), what values they represent. And this is them kind of emitting out something, so this is the express- they have used THE COMPANY to express themself. And we typically in our research, both in CHINESE CITY FROM PHASE 1 and in eh CHINESE CITY, before and everything, we meet a lot of these people 'cause when we screen people, we want the car enthusiasts, right? So we talk to these people and they are kind of lead users within THE COMPANY. But, they are probably not necessarily the masses of who buys THE COMPANY. So, the masses is probably somewhere inbetween here. And then you have the top part here, which is like ""I am THE COMPANY"". And this is kind of the Yen-type. We call it the Yen-state, where you are u'- you are kind of embodying THE COMPANY and you are- are totally aligned with that. And THE COMPANY, you're kind of- it's kind of flipped where these need THE COMPANY and we need these guys, to tell the story. And if we are focused and deep and narrow, we can really talk to these people and start building our brand from that little seed outwards. This is why we should have one or two hero-products that appeals to these people. And when we talk about hero-products it's not about price or we gonna have a campaign here or anything. It is about oh, this is super relevant, it makes perfect sense for these guys, let's create the- those. And this is when many people is- opposite of this, this is when many people look- come to this person for inspiration, as a role model and so on, so that lives kind of over here, in the role model part. That's kind of empower. So, this is the customer side, where this is maybe more the product side of it, where does it exist. This is kind of the (.) the customer side of it. So these two areas here is very interesting. How can we focus here to conquest these people? These people already probably have a THE COMPANY-PRODUCT, so it wouldn't be acquiring new people, it would be just like keeping them, which is important of course, but we wanna be in conquest, we wanna grow."
dtrs-11;20-recap-with-stakeholders;Tiffany;And also eh they have a THE COMPANY-PRODUCT, but eh we want them to buy accessories.
dtrs-11;20-recap-with-stakeholders;Ewan;Yeah, yeah.
dtrs-11;20-recap-with-stakeholders;Tiffany;Which they don't today.
