dataset;session;speaker;utterance
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;"So if you are comfortable with that, and I guess you are still comfortable with [that] eh the purpose of what we will do now is to eh have you guys get a small introduction to what we've been doing for the last half a year or ""slash"" a year (..)"
dtrs-11;21-brainstorm-on-concepts-and-products-1;Paul;[yes]
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;"and we are now moving in to the more innovative, creative phase eh in the realm of accessories but mostly in the realm of our main theme, which is ""good life""- Chinese good life, whatever that is (.) and we would like to to start out with going broader with what we are already. we've been kind of institutionalized be- by it of course so we need you guys to help so kind of look at new angles and stuff like that so we would quickly do a short introduction of this (.) and you can also read a little if you want ,but it will take no longer that half an hour (coughs) an hour (laughs) an half an hour"
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;(coughs, laughs) an- an hour if you are only counting one person then of [course it's] double time (laughs)
dtrs-11;21-brainstorm-on-concepts-and-products-1;Paul;[then it's one hour]
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;Eh yeah (off task behaviour)
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;but I think you should get up on your feet's
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;yeah
dtrs-11;21-brainstorm-on-concepts-and-products-1;Nina;well you have a chair, but you cannot use it (laughs)
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;ehm
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;and I don't know if you want to start with [the]
dtrs-11;21-brainstorm-on-concepts-and-products-1;Nina;[yeah I can] start with that
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;uh watch out
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;ehm (..) so how should we do this in the most efficient way? Should we explain a little or you? (..) yeah
dtrs-11;21-brainstorm-on-concepts-and-products-1;Kenny;"I was thinking we should go through yeah ""good life"" I'm not sure if we should go through all the cultural backdrops, but the themes for sure"
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;yeah
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;mmh
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;eh yeah
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;So I think (..) should we just try to make like an explanation of what this is without you reading it all, yeah
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;(laughs)
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;so try to eh try to take in some of  the stuff we will tell you now and use it in the (.) following-
dtrs-11;21-brainstorm-on-concepts-and-products-1;Paul;in our brains
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;I'm your- in your brains (laughs) but sorry excuses for brains
dtrs-11;21-brainstorm-on-concepts-and-products-1;Steven;I will use it for only good things
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;yeah yeah yes
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;"so we have this project with ""Accessory"", and Accessory of course came to us and said ""we sell a lot of cars in China, but we don't sell any- we- or take rates for accessories is really low. Why is that?"" (.) and we have in many ways boiled it down to eh to it- to that our brand penetration and brand values will not shine through in China enough for us to sell any ehm (.) accessories at all. they don't really (.) care about what we sell outside of the car (.)"
dtrs-11;21-brainstorm-on-concepts-and-products-1;Kenny;by the way if you have any ideas meanwhile just-
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;exactly
dtrs-11;21-brainstorm-on-concepts-and-products-1;Kenny;just type them down, put them on the wall
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;yeah yeah
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;So this is a brainstorming session just to the overall thing
dtrs-11;21-brainstorm-on-concepts-and-products-1;Steven;thank you
dtrs-11;21-brainstorm-on-concepts-and-products-1;Abby;we just really want to get your (.) whatever ideas accessories related ideas you have, product, services, whatever it could be
dtrs-11;21-brainstorm-on-concepts-and-products-1;Ewan;communication, whatever
dtrs-11;21-brainstorm-on-concepts-and-products-1;Paul;so it's concrete ideas?[ Like] walnuts that glows
