dataset;session;speaker;utterance
dtrs-11;22-follow-up-interview;Interviewer;So, last time we met, eh you had a brainstorm with your colleagues, just to go back to the last time we saw you, if you remember [trying to recall that]
dtrs-11;22-follow-up-interview;Ewan;[yeah I do remember], yeah that was a little, maybe not the best day for you to be here, even we had, oh that, now I remember! We had our, kind of our random callings comming in, supporting us
dtrs-11;22-follow-up-interview;Interviewer;[Yes]
dtrs-11;22-follow-up-interview;Ewan;[with (what we could do?)
dtrs-11;22-follow-up-interview;Interviewer;[Exactly] and ehm, lets start, maybe we can start there, so can you tell me ehm, what you might have used those inputs to and for and, do you remember anything about that?
dtrs-11;22-follow-up-interview;Ewan;Yeah, so we had, a hope that, or or, it is again part of our methodology is of course to get stuck in something and then unstuck ourselves, get stuck and unstuck and then see what sticks in the end and this was just, the little part you joined in was when we got our colleagues in the office which of course are employed as well, but are working on totally different projects and in another part of the development phase, and tried to have them ehm, kind of open us again a litte bit and (.) we were pretty sure where we had landed on the direction and what it meant and which handle to take on it (.) however we wanted to pass it by them without priming them too much, just coming in, giving them a couple of words, couple of words and directions and see where that landed, eh, you can say that we  was, nothing new came out other than we got confirmed that yes, we are in the right dirction, these are the same faults that the colleagues also have, of course we can't be too sure they can have been kind of silently primed by us and so on, but it gave us an indication that yes we are in the right path (.) we repeated that exercise with people in the main organisation in Scandinavia as well, and of course we could have taken it even further, getting users in, and bla bla bla, but it was just, it was a calibration exersice for us, and you can say yes, we used it as a confirmation that yes we were on the right track
dtrs-11;22-follow-up-interview;Interviewer;Okay, so, ehm, if we look back, because we started up, the first time we met you, you started up with this one (pointing to slide 3 of Project Brief)
dtrs-11;22-follow-up-interview;Ewan;Oh, very good
dtrs-11;22-follow-up-interview;Interviewer;do you remember that?
dtrs-11;22-follow-up-interview;Ewan;yeah
dtrs-11;22-follow-up-interview;Interviewer;And as, as, that's like trying to say, we were kind of like involved in between phase 2 and 3 and we have followed you a bit through these phases (refering to slide 3 of the Project Brief)
dtrs-11;22-follow-up-interview;Ewan;Especially [phase 4]
dtrs-11;22-follow-up-interview;Interviewer;[Especially of course] phase 4 and that is also kind of what our data is mostly evolving around this phase of course, and then we were kind of touching down here, also with the brainstorm, but nothing really ehm...
dtrs-11;22-follow-up-interview;Ewan;Yeah I would say that in step 5 here, you- you touched upon kind of one of the things, which was this kind of verification like the stuck unstuck thing ehm and eh, and after you left, that was kind of when we started to galvanize and we really tried to push that forward
dtrs-11;22-follow-up-interview;Interviewer;So, lets try to talk a bit about [that]
dtrs-11;22-follow-up-interview;Ewan;[yeah]
dtrs-11;22-follow-up-interview;Interviewer;what happened em, in this, did you have a concept refinement phase, and….
